epoch,tr_loss,va_loss,va_PDR,va_R2,va_CBR,va_RMSE,is_best,stopped
1,8943.722412,6924.920083,5e-06,-2.970453,1.961858,83.2161,True,False
2,5479.899741,3219.574164,2e-06,-0.845966,1.337702,56.7413,True,False
3,2447.252442,1789.371608,2e-06,-0.025949,0.997265,42.301,True,False
4,1760.195193,1752.420579,2e-06,-0.004763,0.986914,41.8619,True,False
5,1738.433325,1756.410697,2e-06,-0.007051,0.988037,41.9096,False,False
6,1744.125791,1757.14327,2e-06,-0.007471,0.988243,41.9183,False,False
7,1737.924417,1757.553565,2e-06,-0.007706,0.988358,41.9232,False,False
8,1734.600075,1756.069739,2e-06,-0.006855,0.987941,41.9055,False,False
9,1742.063292,1757.630869,2e-06,-0.00775,0.98838,41.9241,False,False
10,1738.913369,1758.565162,2e-06,-0.008286,0.988643,41.9352,False,False
11,1743.211744,1754.496656,2e-06,-0.005953,0.987499,41.8867,False,False
12,1739.337679,1755.687154,2e-06,-0.006636,0.987834,41.9009,False,False
13,1738.164554,1758.221531,1e-06,-0.008089,0.988546,41.9312,False,False
14,1740.589496,1756.374833,1e-06,-0.00703,0.988027,41.9091,False,False
15,1739.527137,1756.21691,1e-06,-0.00694,0.987983,41.9072,False,False
16,1735.319289,1756.591419,1e-06,-0.007154,0.988088,41.9117,False,False
17,1737.161383,1755.266876,1e-06,-0.006395,0.987715,41.8959,False,False
18,1741.470022,1754.829081,1e-06,-0.006144,0.987592,41.8907,False,False
19,1734.913825,1756.404267,1e-06,-0.007047,0.988035,41.9095,False,False
20,1740.380916,1754.363259,1e-06,-0.005877,0.987461,41.8851,False,False
21,1736.891638,1758.116706,1e-06,-0.008029,0.988517,41.9299,False,False
22,1737.628323,1757.208303,1e-06,-0.007508,0.988261,41.9191,False,False
23,1741.648058,1753.301202,1e-06,-0.005268,0.987162,41.8724,False,False
24,1741.828837,1753.754267,1e-06,-0.005528,0.98729,41.8778,False,False
25,1735.458189,1763.9866,1e-06,-0.011394,0.990166,41.9998,False,False
26,1742.37261,1754.770371,1e-06,-0.00611,0.987576,41.89,False,False
27,1734.653146,1763.280408,1e-06,-0.01099,0.989967,41.9914,False,False
28,1740.519452,1756.179625,1e-06,-0.006918,0.987972,41.9068,False,False
29,1743.949057,1755.553171,1e-06,-0.006559,0.987796,41.8993,False,False
30,1737.048479,1759.86047,1e-06,-0.009029,0.989007,41.9507,False,False
31,1735.501016,1754.599859,1e-06,-0.006013,0.987528,41.8879,False,False
32,1739.248787,1750.73293,1e-06,-0.003795,0.986439,41.8418,True,False
33,1740.236523,1757.418006,1e-06,-0.007628,0.98832,41.9216,False,False
34,1739.879462,1761.338751,1e-06,-0.009876,0.989422,41.9683,False,False
35,1744.134482,1759.04004,0.0,-0.008558,0.988776,41.9409,False,False
36,1736.265821,1757.432302,1e-06,-0.007636,0.988324,41.9217,False,False
37,1746.891082,1750.351297,1e-06,-0.003577,0.986331,41.8372,True,False
38,1736.893086,1754.719841,2e-06,-0.006081,0.987561,41.8894,False,False
39,1738.861709,1758.171422,4e-06,-0.00806,0.988532,41.9306,False,False
40,1737.99372,1755.251767,5e-06,-0.006386,0.987711,41.8957,False,False
41,1745.080785,1753.028602,9e-06,-0.005112,0.987085,41.8692,False,False
42,1732.970825,1756.2017,2.3e-05,-0.006931,0.987978,41.9071,False,False
43,1740.065116,1751.016985,0.001241,-0.003958,0.986519,41.8452,False,False
44,1178.944626,425.638663,0.821163,0.755957,0.486386,20.631,True,False
45,371.72582,342.325981,0.929241,0.803725,0.436194,18.5021,True,False
46,331.479738,329.209576,0.877183,0.811245,0.427756,18.1441,True,False
47,305.532018,265.003962,0.910475,0.848058,0.383784,16.2789,True,False
48,281.211912,239.559567,0.933743,0.862647,0.364894,15.4777,True,False
49,271.240349,289.426698,0.956832,0.834055,0.401079,17.0125,False,False
50,249.194299,265.909884,0.982143,0.847539,0.384439,16.3067,False,False
51,247.475508,242.334243,0.93648,0.861056,0.367001,15.5671,False,False
52,239.487298,223.148164,0.978194,0.872056,0.352174,14.9381,True,False
53,231.554246,225.057483,0.939406,0.870962,0.353677,15.0019,False,False
54,223.670991,199.351096,0.922593,0.885701,0.332866,14.1192,True,False
55,217.367532,216.964659,0.921733,0.875602,0.34726,14.7297,False,False
56,220.598507,194.388533,0.945355,0.888546,0.328697,13.9423,True,False
57,214.003867,192.73526,0.925356,0.889494,0.327296,13.8829,True,False
