epoch,tr_loss,va_loss,va_PDR,va_R2,va_CBR,va_RMSE,is_best,stopped
1,8567.431709,6287.451637,5e-06,-2.62078,1.881473,79.2934,True,False
2,4415.917661,2409.921315,3e-06,-0.387811,1.164829,49.091,True,False
3,1959.686176,1736.533082,3e-06,-2.4e-05,0.988786,41.6717,True,False
4,1745.565489,1743.877979,2e-06,-0.004254,0.990875,41.7598,False,False
5,1739.542982,1740.762215,2e-06,-0.00246,0.989989,41.7224,False,False
6,1741.017113,1739.599848,2e-06,-0.00179,0.989658,41.7085,False,False
7,1747.407203,1742.773782,2e-06,-0.003618,0.990561,41.7465,False,False
8,1743.468739,1742.306701,2e-06,-0.003349,0.990428,41.7409,False,False
9,1741.904516,1738.691187,2e-06,-0.001267,0.9894,41.6976,False,False
10,1742.76953,1743.853981,2e-06,-0.00424,0.990868,41.7595,False,False
11,1745.331188,1742.513044,2e-06,-0.003468,0.990487,41.7434,False,False
12,1748.81003,1739.401795,2e-06,-0.001676,0.989602,41.7061,False,False
13,1739.182009,1743.309956,2e-06,-0.003927,0.990713,41.753,False,False
14,1741.20235,1739.203943,2e-06,-0.001563,0.989546,41.7038,False,False
15,1743.828337,1738.93772,2e-06,-0.001409,0.98947,41.7006,False,False
16,1741.980975,1749.700139,1e-06,-0.007607,0.992527,41.8294,False,False
17,1744.363894,1742.247464,1e-06,-0.003315,0.990411,41.7402,False,False
18,1744.557469,1741.727229,1e-06,-0.003016,0.990263,41.734,False,True
