source,seed,protocol,PDR,CBR,R2,RMSE,RMSE_const,ISS
existing_original,0,original_H6,3e-06,0.952294,-0.074977,42.9194,45.0695,N/A
existing_original,1,original_H6,1e-06,0.959588,-0.091509,43.2482,45.0695,N/A
existing_original,2,original_H6,1e-06,0.960896,-0.094487,43.3072,45.0695,N/A
existing_original,3,original_H6,2e-06,0.964757,-0.103301,43.4812,45.0695,N/A
existing_original,4,original_H6,4e-06,0.95809,-0.088105,43.1807,45.0695,N/A
rerun_original,0,original,3e-06,0.952317,-0.075029,42.9205,45.0695,0.000284
rerun_original,1,original,1e-06,0.959302,-0.090857,43.2353,45.0695,0.000148
rerun_original,2,original,0.922216,0.300752,0.89278,13.5548,45.0695,132.682297
rerun_original,3,original,1e-06,0.960899,-0.094494,43.3073,45.0695,0.000118
rerun_original,4,original,4e-06,0.958642,-0.089358,43.2056,45.0695,0.000386
rerun_corrected,0,corrected,0.964753,0.329187,0.871547,14.8363,45.0695,143.192047
rerun_corrected,1,corrected,0.974449,0.300558,0.892918,13.546,45.0695,139.326416
rerun_corrected,2,corrected,0.965768,0.305546,0.889335,13.7708,45.0695,152.182251
rerun_corrected,3,corrected,0.993182,0.30988,0.886173,13.9662,45.0695,139.693054
rerun_corrected,4,corrected,0.971208,0.32907,0.871638,14.831,45.0695,159.572662
