epoch,tr_loss,va_loss,va_PDR,va_R2,va_CBR,va_RMSE,is_best,stopped
1,24320.3447,18490.4089,2e-06,-1.418397,1.512174,135.9794,True,False
2,18507.9766,11754.5177,1e-06,-0.537396,1.205677,108.4183,True,False
3,11792.9291,7956.1535,1e-06,-0.040601,0.991928,89.1973,True,False
4,9297.9337,7673.038,1e-06,-0.003572,0.974119,87.5959,True,False
5,9035.489,7732.4424,1e-06,-0.011341,0.977883,87.9343,False,False
6,9032.3618,7742.9997,1e-06,-0.012722,0.97855,87.9943,False,False
7,9061.6237,7746.4125,1e-06,-0.013168,0.978766,88.0137,False,False
8,9046.7678,7745.9932,1e-06,-0.013114,0.978739,88.0113,False,False
9,9045.8864,7750.9348,0.0,-0.01376,0.979051,88.0394,False,False
10,9024.0737,7744.8001,1e-06,-0.012957,0.978664,88.0045,False,False
11,9037.3107,7741.966,0.0,-0.012587,0.978485,87.9884,False,False
12,9019.5815,7746.2328,0.0,-0.013145,0.978754,88.0127,False,False
13,9061.4732,7733.735,0.0,-0.01151,0.977965,87.9417,False,False
14,9031.6134,7755.4153,0.0,-0.014346,0.979334,88.0648,False,False
15,9042.9976,7734.8566,0.0,-0.011657,0.978035,87.948,False,False
16,9023.5128,7759.7162,0.0,-0.014908,0.979606,88.0892,False,False
17,9033.074,7743.292,0.0,-0.01276,0.978569,87.996,False,False
18,9005.1772,7780.6798,0.0,-0.01765,0.980928,88.2082,False,False
19,9028.1513,7739.3716,0.0,-0.012247,0.978321,87.9737,False,False
20,9051.6317,7728.0785,0.0,-0.01077,0.977607,87.9095,False,False
21,9035.4447,7750.5328,0.0,-0.013707,0.979026,88.0371,False,False
22,9017.0818,7734.6123,0.0,-0.011625,0.97802,87.9466,False,False
23,9041.4357,7757.7131,0.0,-0.014646,0.979479,88.0779,False,False
24,9022.7354,7759.3097,0.0,-0.014855,0.97958,88.0869,False,False
25,9053.8986,7728.8534,0.0,-0.010872,0.977656,87.9139,False,False
26,9028.7989,7704.9679,0.0,-0.007748,0.976144,87.7779,False,False
27,9043.5936,7736.1154,0.0,-0.011822,0.978115,87.9552,False,False
28,9028.6503,7752.7122,0.0,-0.013992,0.979164,88.0495,False,False
29,9051.0663,7735.9814,0.0,-0.011804,0.978107,87.9544,False,False
30,9027.6409,7734.0131,0.0,-0.011547,0.977982,87.9432,False,False
31,9039.3033,7723.8874,0.0,-0.010222,0.977342,87.8857,False,False
32,9033.9624,7742.8909,0.0,-0.012708,0.978543,87.9937,False,False
33,9044.4574,7792.2616,0.0,-0.019165,0.981658,88.2738,False,False
34,9041.4387,7765.9732,0.0,-0.015727,0.980001,88.1248,False,False
35,9029.8776,7717.2826,0.0,-0.009358,0.976924,87.8481,False,False
36,9040.5502,7762.6871,1e-06,-0.015297,0.979794,88.1061,False,False
37,9029.2505,7754.3169,2e-06,-0.014202,0.979265,88.0586,False,False
38,9038.9544,7746.2944,8e-06,-0.013153,0.978758,88.013,False,False
39,9032.4809,7704.5742,0.001999,-0.007696,0.976119,87.7757,False,False
40,7236.506,3269.7689,0.675608,0.572341,0.635897,57.1819,True,False
41,3659.0523,2864.0311,0.785122,0.625408,0.595138,53.5166,True,False
42,3287.2623,3184.4618,0.805511,0.583498,0.627547,56.431,False,False
43,2920.1446,2725.0932,0.893807,0.64358,0.580523,52.2024,True,False
44,2797.0103,3070.8985,0.821012,0.598351,0.616256,55.4157,False,False
45,2719.6903,2619.0101,0.759329,0.657455,0.569111,51.1763,True,False
46,2672.7962,2662.5916,0.856252,0.651754,0.573827,51.6003,False,False
47,2547.5577,3034.5274,0.964953,0.603108,0.612596,55.0865,False,False
48,2539.5541,2366.201,0.834765,0.69052,0.540947,48.6436,True,False
49,2537.3392,2828.4804,0.91204,0.630058,0.591432,53.1835,False,False
50,2379.8059,3165.3965,0.948163,0.585992,0.625666,56.2619,False,False
51,2409.3204,2587.6587,0.889881,0.661555,0.565695,50.869,False,False
52,2420.7996,2478.6549,0.850526,0.675812,0.553652,49.7861,False,False
53,2392.4199,2240.7919,0.892508,0.706922,0.526416,47.337,True,False
54,2335.6695,2650.4947,0.846029,0.653337,0.572522,51.483,False,False
55,2325.899,2322.1249,0.868865,0.696285,0.535885,48.1884,False,False
56,2301.2671,2613.7687,0.889905,0.65814,0.568541,51.125,False,False
57,2293.5038,2892.4277,0.862384,0.621694,0.598081,53.7813,False,False
58,2314.5267,2413.3088,0.867761,0.684359,0.546305,49.1254,False,False
59,2240.6568,2339.5745,0.931249,0.694002,0.537894,48.3692,False,False
60,2244.2459,2329.1048,0.872428,0.695372,0.536689,48.2608,False,False
61,2198.6896,2344.2257,0.902576,0.693394,0.538429,48.4172,False,False
62,2170.0213,2273.2601,0.872318,0.702676,0.530216,47.6787,False,False
63,2201.5496,2333.9905,0.897668,0.694733,0.537252,48.3114,False,False
64,2189.8512,3040.9704,0.951102,0.602266,0.613246,55.145,False,False
65,2189.8826,2274.8481,0.913906,0.702468,0.530401,47.6954,False,False
66,2174.7537,2492.8975,0.897216,0.673949,0.55524,49.9289,False,False
67,2092.6641,2192.2625,0.963498,0.71327,0.520685,46.8216,True,False
68,2123.2916,2338.9381,0.953196,0.694086,0.537821,48.3626,False,False
69,2100.13,2470.3991,0.904987,0.676892,0.552729,49.7031,False,False
70,2033.2562,2374.1423,0.881679,0.689481,0.541853,48.7252,False,False
71,2036.6964,2653.1371,0.910684,0.652991,0.572807,51.5086,False,False
72,2085.9119,2027.8921,0.953874,0.734768,0.500785,45.0321,True,False
73,2035.7091,2488.5286,0.927339,0.67452,0.554753,49.8852,False,False
74,1993.866,2548.8906,0.88908,0.666626,0.561441,50.4865,False,False
75,1972.0238,2784.7692,0.883361,0.635775,0.586845,52.7709,False,False
76,1935.4615,2274.1586,0.873069,0.702558,0.530321,47.6881,False,False
77,1958.8385,2344.6065,0.892856,0.693344,0.538472,48.4211,False,False
78,1874.5057,2108.7565,0.910992,0.724192,0.510672,45.9212,False,False
79,1941.0188,2509.7049,0.882839,0.671751,0.557109,50.097,False,False
80,1944.4653,2565.1074,0.971516,0.664505,0.563224,50.6469,False,False
81,1865.4304,2964.6801,0.960346,0.612244,0.605505,54.4489,False,False
82,1907.8781,2674.6818,0.955694,0.650173,0.575128,51.7173,False,False
83,1852.0328,2196.4154,0.894568,0.712727,0.521178,46.8659,False,False
84,1860.0532,2459.7727,0.917889,0.678282,0.551539,49.5961,False,False
85,1818.1105,2496.9948,0.878574,0.673413,0.555696,49.9699,False,False
86,1913.6675,2532.5864,0.882833,0.668758,0.559642,50.3248,False,False
87,1838.373,2886.01,0.955922,0.622533,0.597417,53.7216,False,False
88,1816.2905,2389.2837,0.920837,0.687501,0.543579,48.8803,False,False
89,1852.6696,2409.7417,0.956804,0.684825,0.545901,49.0891,False,False
90,1827.4969,2543.7992,0.933812,0.667292,0.56088,50.4361,False,False
91,1840.7035,2512.4684,0.918764,0.671389,0.557415,50.1245,False,False
92,1773.553,2017.432,0.877561,0.736136,0.499491,44.9158,True,False
93,1831.3712,2331.9797,0.93956,0.694996,0.537021,48.2906,False,False
94,1771.7709,2731.2351,0.960321,0.642776,0.581176,52.2612,False,False
95,1850.1618,2729.4191,0.924242,0.643014,0.580983,52.2438,False,False
96,1821.7795,2451.3834,0.927258,0.679379,0.550597,49.5114,False,False
97,1784.8899,2782.2596,0.918121,0.636103,0.58658,52.7471,False,False
98,1811.622,2527.508,0.929417,0.669422,0.559081,50.2743,False,False
99,1780.2292,2105.0819,0.91119,0.724672,0.510226,45.8812,False,False
