epoch,tr_loss,va_loss,va_PDR,va_R2,va_CBR,va_RMSE,is_best,stopped
1,6279.2172,4848.0836,5e-06,-3.658681,2.141682,69.6282,True,False
2,3546.729,2061.1129,2e-06,-0.98059,1.396435,45.3995,True,False
3,1461.8805,1078.7255,2e-06,-0.036582,1.010242,32.844,True,False
4,1041.5512,1041.5566,2e-06,-0.000866,0.992685,32.2732,True,False
5,1033.0199,1042.9731,2e-06,-0.002227,0.99336,32.2951,False,False
6,1036.6766,1042.8413,2e-06,-0.0021,0.993297,32.2931,False,False
7,1035.8337,1042.66,2e-06,-0.001926,0.993211,32.2902,False,False
8,1032.5556,1042.1119,2e-06,-0.001399,0.99295,32.2818,False,False
9,1031.8873,1042.3841,2e-06,-0.001661,0.993079,32.286,False,False
10,1033.2839,1041.8781,2e-06,-0.001175,0.992838,32.2781,False,False
11,1033.2214,1042.3066,2e-06,-0.001586,0.993042,32.2848,False,False
12,1032.9684,1042.2053,1e-06,-0.001489,0.992994,32.2832,False,False
13,1026.8952,1042.6628,1e-06,-0.001929,0.993212,32.2903,False,False
14,1035.0788,1042.7427,1e-06,-0.002005,0.99325,32.2915,False,False
15,1031.7195,1042.8163,1e-06,-0.002076,0.993285,32.2927,False,False
16,1030.7832,1041.98,0.0,-0.001272,0.992887,32.2797,False,False
17,1030.32,1041.7054,7.3e-05,-0.001009,0.992756,32.2755,False,False
18,1031.8626,1040.9075,0.000379,-0.000242,0.992376,32.2631,True,False
19,985.7991,910.8889,0.176149,0.124697,0.928331,30.1809,True,False
20,505.5557,386.8198,0.922144,0.628292,0.604957,19.6677,True,False
21,240.8326,160.2803,0.858676,0.845981,0.389413,12.6602,True,False
22,208.6092,145.5538,0.912477,0.860133,0.371092,12.0646,True,False
23,187.0749,140.6666,0.933991,0.864829,0.364809,11.8603,True,False
24,187.3489,151.4925,0.911274,0.854426,0.378587,12.3082,False,False
25,174.8012,126.9316,0.964919,0.878027,0.346541,11.2664,True,False
26,162.8961,118.5128,0.940327,0.886117,0.334852,10.8864,True,False
27,158.0559,121.8998,0.939413,0.882863,0.339603,11.0408,False,False
28,149.5099,111.7775,0.945391,0.892589,0.325198,10.5725,True,False
29,148.74,129.9136,0.952843,0.875162,0.350588,11.398,False,False
30,147.8666,117.8048,0.934824,0.886798,0.33385,10.8538,False,False
31,139.7115,168.8711,0.926588,0.837726,0.399712,12.995,False,False
32,136.8783,100.2764,0.946635,0.903641,0.308013,10.0138,True,False
33,137.3033,113.5154,0.96074,0.890919,0.327716,10.6544,False,False
34,130.9078,111.1222,0.921143,0.893219,0.324243,10.5415,False,False
35,134.6154,93.4293,0.945436,0.910221,0.297311,9.6659,True,False
36,125.5398,119.5231,0.931394,0.885146,0.336276,10.9327,False,False
37,132.857,116.5131,0.961257,0.888039,0.332015,10.7941,False,False
38,123.332,95.3595,0.934986,0.908366,0.300367,9.7652,False,False
39,121.1596,95.4414,0.952678,0.908287,0.300496,9.7694,False,False
40,117.8614,89.4716,0.953133,0.914024,0.290946,9.4589,True,False
41,119.8116,86.8763,0.955985,0.916518,0.286695,9.3207,True,False
42,117.675,91.8594,0.970049,0.911729,0.294803,9.5843,False,False
43,116.4784,87.3721,0.957232,0.916041,0.287512,9.3473,False,False
44,117.9488,94.8439,0.979702,0.908861,0.299554,9.7388,False,False
45,119.418,117.8859,0.934868,0.88672,0.333965,10.8575,False,False
46,122.792,88.3554,0.954885,0.915096,0.289126,9.3998,False,False
47,113.755,92.9771,0.9606,0.910655,0.296591,9.6425,False,False
48,114.0433,137.8211,0.986539,0.867563,0.3611,11.7397,False,False
49,113.0728,86.0078,0.961364,0.917352,0.285259,9.274,True,False
50,114.0241,100.2858,0.954266,0.903632,0.308028,10.0143,False,False
51,115.3869,104.7176,0.957695,0.899373,0.31476,10.2332,False,False
52,113.0538,97.1965,0.945439,0.906601,0.303246,9.8588,False,False
53,107.7072,81.3295,0.965282,0.921848,0.277392,9.0183,True,False
54,106.4408,80.3048,0.935875,0.922832,0.275639,8.9613,True,False
55,107.8486,88.0438,0.962994,0.915396,0.288615,9.3832,False,False
56,106.92,103.5046,0.957694,0.900539,0.312932,10.1737,False,False
57,112.1286,84.9811,0.978741,0.918339,0.283551,9.2185,False,False
58,109.3654,88.2813,0.946882,0.915168,0.289004,9.3958,False,False
59,109.5307,79.3516,0.97738,0.923748,0.273998,8.908,True,False
60,112.5099,73.4635,0.95662,0.929407,0.263637,8.5711,True,False
61,103.2815,80.9945,0.954997,0.92217,0.27682,8.9997,False,False
62,109.352,74.3298,0.966522,0.928574,0.265186,8.6215,False,False
63,106.0384,91.4055,0.940135,0.912165,0.294074,9.5606,False,False
64,108.7382,73.9349,0.970368,0.928954,0.264481,8.5985,False,False
65,104.5263,76.9342,0.924024,0.926071,0.269792,8.7712,False,False
66,104.2887,100.1959,0.959377,0.903719,0.307889,10.0098,False,False
67,102.5563,78.5827,0.958934,0.924487,0.272667,8.8647,False,False
68,104.394,83.9832,0.985964,0.919298,0.281881,9.1642,False,False
69,102.0467,86.77,0.965591,0.91662,0.28652,9.315,False,False
70,101.0763,80.9626,0.941259,0.9222,0.276766,8.9979,False,False
71,103.1313,97.4361,0.932859,0.90637,0.30362,9.871,False,False
72,101.3319,74.9378,0.955466,0.92799,0.266269,8.6567,False,False
73,102.5179,86.9005,0.931972,0.916494,0.286735,9.322,False,False
74,101.1858,95.973,0.939056,0.907776,0.301331,9.7966,False,False
75,103.6888,80.1375,0.965853,0.922993,0.275352,8.952,False,False
76,98.9299,78.1054,0.942108,0.924946,0.271838,8.8377,False,False
