epoch,tr_loss,va_loss,va_PDR,va_R2,va_CBR,va_RMSE,is_best,stopped
1,6413.3539,4958.1036,6e-06,-3.764403,2.165847,70.4138,True,False
2,3386.3108,1732.3128,3e-06,-0.664636,1.280216,41.6211,True,False
3,1243.3688,1040.9189,2e-06,-0.000253,0.992381,32.2633,True,False
4,1033.1977,1041.6108,2e-06,-0.000918,0.992711,32.274,False,False
5,1028.9076,1042.7427,2e-06,-0.002005,0.99325,32.2915,False,False
6,1030.3128,1042.0185,2e-06,-0.00131,0.992905,32.2803,False,False
7,1034.4271,1042.0168,2e-06,-0.001308,0.992904,32.2803,False,False
8,1032.2132,1042.5921,2e-06,-0.001861,0.993178,32.2892,False,False
9,1034.2175,1042.3835,2e-06,-0.00166,0.993079,32.286,False,False
10,1027.9049,1041.8019,2e-06,-0.001101,0.992802,32.277,False,False
11,1033.4181,1042.2991,2e-06,-0.001579,0.993039,32.2847,False,False
12,1029.4051,1042.494,2e-06,-0.001766,0.993132,32.2877,False,False
13,1034.4649,1042.2034,2e-06,-0.001487,0.992993,32.2832,False,False
14,1028.0319,1042.9573,2e-06,-0.002212,0.993352,32.2948,False,False
15,1033.1354,1041.973,2e-06,-0.001266,0.992883,32.2796,False,False
16,1028.9547,1041.1917,2e-06,-0.000515,0.992511,32.2675,False,False
17,1030.9973,1041.7286,2e-06,-0.001031,0.992767,32.2758,False,False
18,1028.692,1045.9219,1e-06,-0.00506,0.994763,32.3407,False,True
