epoch,tr_loss,va_loss,va_PDR,va_R2,va_CBR,va_RMSE,is_best,stopped
1,8404.0294,7200.7125,6e-06,-3.327158,2.079872,84.857,True,False
2,4520.1632,2901.0385,3e-06,-0.743335,1.320157,53.8613,True,False
3,2032.2031,1732.826,3e-06,-0.041315,1.020296,41.6272,True,False
4,1758.2991,1689.7667,3e-06,-0.015439,1.00754,41.1068,True,False
5,1753.9407,1687.6236,3e-06,-0.014152,1.006901,41.0807,True,False
6,1755.8294,1687.9283,3e-06,-0.014335,1.006992,41.0844,False,False
7,1759.7972,1687.7461,2e-06,-0.014225,1.006937,41.0822,False,False
8,1758.5663,1685.5678,2e-06,-0.012916,1.006287,41.0557,True,False
9,1758.4211,1684.0104,2e-06,-0.01198,1.005822,41.0367,True,False
10,1759.7142,1688.7249,2e-06,-0.014813,1.007229,41.0941,False,False
11,1758.9251,1687.7658,2e-06,-0.014237,1.006943,41.0824,False,False
12,1753.9711,1687.7883,2e-06,-0.01425,1.00695,41.0827,False,False
13,1751.0759,1693.5455,2e-06,-0.01771,1.008666,41.1527,False,False
14,1753.1181,1680.7348,2e-06,-0.010012,1.004844,40.9968,True,False
15,1757.7584,1686.9922,2e-06,-0.013772,1.006712,41.073,False,False
16,1755.8187,1692.6911,2e-06,-0.017197,1.008411,41.1423,False,False
17,1758.674,1687.9526,2e-06,-0.014349,1.006999,41.0847,False,False
18,1755.3197,1692.196,1e-06,-0.016899,1.008264,41.1363,False,False
19,1753.4339,1688.4253,1e-06,-0.014633,1.00714,41.0905,False,False
20,1755.6598,1685.7815,1e-06,-0.013045,1.006351,41.0583,False,False
21,1758.7523,1688.0175,1e-06,-0.014388,1.007018,41.0855,False,False
22,1758.5683,1683.1537,1e-06,-0.011465,1.005566,41.0263,False,False
23,1756.2749,1683.8392,1e-06,-0.011877,1.005771,41.0346,False,False
24,1751.573,1685.0143,1e-06,-0.012584,1.006122,41.0489,False,False
25,1754.751,1680.4768,1e-06,-0.009857,1.004767,40.9936,True,False
26,1755.6116,1682.7732,2e-06,-0.011237,1.005453,41.0216,False,False
27,1761.2679,1681.3836,3e-06,-0.010402,1.005038,41.0047,False,False
28,1761.9392,1692.6116,5e-06,-0.017149,1.008388,41.1414,False,False
29,1759.5626,1688.9774,8e-06,-0.014965,1.007305,41.0972,False,False
30,1750.5342,1681.0238,1.3e-05,-0.010186,1.00493,41.0003,False,False
31,1761.0366,1687.4206,3.6e-05,-0.01403,1.00684,41.0782,False,False
32,1758.9279,1687.8784,0.001374,-0.014305,1.006977,41.0838,False,False
33,1507.177,623.8218,0.736577,0.625124,0.61218,24.9764,True,False
34,390.0056,544.4552,0.941492,0.672818,0.571913,23.3336,True,False
35,355.4903,480.0155,0.927837,0.711542,0.537003,21.9093,True,False
36,314.6258,401.9299,0.943333,0.758466,0.491387,20.0482,True,False
37,290.8029,357.3159,0.883209,0.785277,0.463314,18.9028,True,False
38,271.0566,341.1421,0.922346,0.794996,0.452706,18.47,True,False
39,260.3035,398.8792,0.963994,0.7603,0.489519,19.972,False,False
40,257.7083,323.6389,0.977221,0.805514,0.44094,17.99,True,False
41,245.5289,323.6319,0.943902,0.805518,0.440935,17.9898,True,False
42,237.0929,300.817,0.962605,0.819229,0.425109,17.3441,True,False
43,234.9312,321.2625,0.971217,0.806942,0.439318,17.9238,False,False
44,235.5736,276.2832,0.979853,0.833972,0.407405,16.6218,True,False
45,228.8808,264.2323,0.951618,0.841214,0.398421,16.2552,True,False
46,226.2075,328.9131,0.942776,0.802345,0.444518,18.136,False,False
47,225.5164,325.2165,0.976651,0.804566,0.442013,18.0338,False,False
48,224.7658,271.5925,0.96683,0.836791,0.403932,16.4801,False,False
49,219.9825,253.8022,0.95678,0.847481,0.390478,15.9312,True,False
50,223.1451,263.8962,0.986585,0.841416,0.398167,16.2449,False,False
51,219.6746,278.5031,0.964767,0.832638,0.409038,16.6884,False,False
52,213.8738,267.496,0.989174,0.839252,0.400874,16.3553,False,False
53,213.6127,261.6103,0.949019,0.842789,0.396439,16.1744,False,False
54,212.0182,306.0936,0.975509,0.816058,0.428821,17.4955,False,False
55,211.3148,277.5503,0.95611,0.83321,0.408338,16.6598,False,False
56,212.5075,269.6331,0.958788,0.837968,0.402472,16.4205,False,False
57,209.5191,288.6142,0.952995,0.826562,0.416397,16.9886,False,False
58,204.6478,259.1493,0.96501,0.844268,0.39457,16.0981,False,False
59,201.7943,288.476,0.98641,0.826645,0.416297,16.9846,False,False
60,202.4784,280.4414,0.961633,0.831473,0.410459,16.7464,False,False
61,205.4306,250.4781,0.977326,0.849479,0.387912,15.8265,True,False
62,199.9078,250.5403,0.974427,0.849442,0.387961,15.8285,False,False
63,202.2067,250.1936,0.961647,0.84965,0.387692,15.8175,True,False
64,195.4279,244.6203,0.988312,0.852999,0.38335,15.6403,True,False
