epoch,tr_loss,va_loss,va_PDR,va_R2,va_CBR,va_RMSE,is_best,stopped
1,8650.256,6965.6945,6e-06,-3.037866,1.995623,83.4607,True,False
2,5250.5383,3401.0977,3e-06,-0.971545,1.39446,58.3189,True,False
3,2464.151,1824.9466,3e-06,-0.057883,1.02146,42.7194,True,False
4,1767.1822,1725.1054,3e-06,-7e-06,0.993126,41.5344,True,False
5,1737.0455,1725.4279,3e-06,-0.000194,0.993218,41.5383,False,False
6,1742.3574,1725.2348,2e-06,-8.2e-05,0.993163,41.5359,False,False
7,1750.5613,1725.6224,2e-06,-0.000307,0.993275,41.5406,False,False
8,1743.0642,1725.6101,2e-06,-0.0003,0.993271,41.5405,False,False
9,1747.1881,1725.6431,2e-06,-0.000319,0.99328,41.5409,False,False
10,1740.4177,1725.6456,2e-06,-0.00032,0.993281,41.5409,False,False
11,1741.4643,1725.2194,2e-06,-7.3e-05,0.993158,41.5358,False,False
12,1741.5775,1725.7449,2e-06,-0.000378,0.99331,41.5421,False,False
13,1744.9777,1725.1593,2e-06,-3.8e-05,0.993141,41.535,False,False
14,1746.3284,1725.8911,2e-06,-0.000463,0.993352,41.5438,False,False
15,1748.4988,1726.0159,2e-06,-0.000535,0.993388,41.5453,False,False
16,1744.832,1725.2305,2e-06,-8e-05,0.993162,41.5359,False,False
17,1745.0369,1725.2548,2e-06,-9.4e-05,0.993169,41.5362,False,False
18,1742.9608,1725.1751,2e-06,-4.8e-05,0.993146,41.5352,False,False
19,1742.4503,1725.6874,2e-06,-0.000345,0.993293,41.5414,False,True
