epoch,tr_loss,va_loss,va_PDR,va_R2,va_CBR,va_RMSE,is_best,stopped
1,22401.4573,25006.6079,2e-06,-1.602052,1.612949,158.1348,True,False
2,17890.8299,18738.3671,1e-06,-0.949813,1.396237,136.8882,True,False
3,12615.4781,13161.3533,1e-06,-0.369499,1.170155,114.7229,True,False
4,9453.9611,10580.9099,0.0,-0.100992,1.049192,102.8635,True,False
5,8607.3666,9947.6042,0.0,-0.035094,1.017308,99.7377,True,False
6,8498.7474,9847.9679,0.0,-0.024726,1.012201,99.2369,True,False
7,8506.9218,9836.1136,0.0,-0.023493,1.011591,99.1772,True,False
8,8516.0448,9842.9551,0.0,-0.024205,1.011943,99.2117,False,False
9,8503.7943,9830.1067,0.0,-0.022868,1.011282,99.1469,True,False
10,8491.7095,9820.3991,0.0,-0.021858,1.010783,99.0979,True,False
11,8502.5906,9831.0962,0.0,-0.022971,1.011333,99.1519,False,False
12,8502.7711,9820.7304,0.0,-0.021892,1.0108,99.0996,False,False
13,8520.7311,9834.9108,0.0,-0.023368,1.011529,99.1711,False,False
14,8524.6549,9818.9751,0.0,-0.02171,1.01071,99.0907,True,False
15,8502.4232,9825.9425,0.0,-0.022434,1.011068,99.1259,False,False
16,8510.5714,9838.4964,0.0,-0.023741,1.011714,99.1892,False,False
17,8508.299,9827.2791,0.0,-0.022574,1.011137,99.1326,False,False
18,8508.382,9837.0207,0.0,-0.023587,1.011638,99.1817,False,False
19,8490.3787,9818.0885,1e-06,-0.021617,1.010664,99.0863,True,False
20,8514.7544,9816.2657,4.7e-05,-0.021428,1.01057,99.0771,True,False
21,8493.5799,9825.8771,0.000336,-0.022428,1.011065,99.1256,False,False
22,8374.0016,8535.2119,0.135235,0.111872,0.942324,92.3862,True,False
23,5075.5263,4307.1599,0.637121,0.55182,0.669405,65.629,True,False
24,3773.8023,3529.3901,0.736245,0.632751,0.605959,59.4087,True,False
25,3532.2803,3241.6332,0.780419,0.662693,0.580731,56.9353,True,False
26,3276.4763,3711.0648,0.789927,0.613847,0.621359,60.9185,False,False
27,3346.2965,2826.4281,0.733248,0.705897,0.542266,53.1642,True,False
28,3099.3738,3095.9598,0.823781,0.677851,0.567533,55.6413,False,False
29,3022.0638,2681.4387,0.815197,0.720984,0.528174,51.7826,True,False
30,2934.5197,2502.7751,0.758413,0.739575,0.510275,50.0277,True,False
31,2915.773,2373.8057,0.741073,0.752995,0.496954,48.7217,True,False
32,2845.938,2746.9951,0.855193,0.714163,0.534592,52.4118,False,False
33,2729.013,2996.919,0.918586,0.688157,0.558381,54.7441,False,False
34,2773.913,2326.0214,0.841312,0.757967,0.491926,48.2288,True,False
35,2667.3797,2127.5826,0.83564,0.778615,0.470475,46.1257,True,False
36,2605.0292,2403.6127,0.835168,0.749893,0.500064,49.0267,False,False
37,2534.6888,1950.4952,0.874344,0.797042,0.45047,44.1644,True,False
38,2471.1868,2313.1847,0.854802,0.759303,0.490567,48.0956,False,False
39,2501.4834,2094.9565,0.88202,0.78201,0.466854,45.7707,False,False
40,2400.0518,2253.2226,0.934413,0.765542,0.484167,47.4681,False,False
41,2416.7805,2090.4071,0.890722,0.782484,0.466346,45.721,False,False
42,2318.8845,2207.1711,0.90251,0.770334,0.479194,46.9805,False,False
43,2273.1987,1935.1418,0.838276,0.79864,0.448693,43.9902,True,False
44,2289.9362,2004.7759,0.875037,0.791394,0.456695,44.7747,False,False
45,2281.0464,1922.4242,0.891059,0.799963,0.447217,43.8455,True,False
46,2279.3537,2032.2337,0.915114,0.788537,0.459812,45.0803,False,False
47,2292.0983,2039.86,0.906475,0.787743,0.460674,45.1648,False,False
48,2219.4326,2111.4248,0.920991,0.780297,0.468685,45.9502,False,False
49,2169.2641,1865.4942,0.858723,0.805887,0.440545,43.1914,True,False
50,2121.1268,2238.7904,0.963897,0.767044,0.482614,47.3159,False,False
51,2165.7222,2282.5157,0.957564,0.762494,0.487304,47.7757,False,False
52,2078.7442,1845.0172,0.82582,0.808017,0.43812,42.9537,True,False
53,2071.9494,2261.4075,0.953476,0.76469,0.485046,47.5543,False,False
54,2045.6888,2123.7242,0.925363,0.779017,0.470048,46.0839,False,False
55,2074.5614,1863.2543,0.860994,0.80612,0.44028,43.1654,False,False
56,2071.5932,2005.8945,0.895586,0.791277,0.456822,44.7872,False,False
57,1986.3772,2175.5787,0.921991,0.773621,0.475752,46.6431,False,False
58,2092.6443,1970.372,0.886028,0.794974,0.452759,44.3889,False,False
59,1965.542,2115.3107,0.938108,0.779892,0.469116,45.9925,False,False
60,2016.4216,2117.3821,0.853234,0.779677,0.469346,46.015,False,False
61,1935.7359,2199.9644,0.903052,0.771084,0.478411,46.9038,False,False
62,1945.8407,2131.9581,0.9013,0.77816,0.470958,46.1731,False,False
63,1919.5986,1920.6219,0.849037,0.80015,0.447007,43.8249,False,False
64,1885.3051,1970.4263,0.838595,0.794968,0.452766,44.3895,False,False
65,1922.0128,2242.9458,0.882217,0.766611,0.483062,47.3597,False,False
66,1993.8782,2084.5346,0.884678,0.783095,0.465691,45.6567,False,False
67,1865.695,2010.9968,0.896748,0.790747,0.457403,44.8441,False,True
