epoch,tr_loss,va_loss,va_PDR,va_R2,va_CBR,va_RMSE,is_best,stopped
1,8726.1939,8028.1143,4e-06,-3.827312,2.196834,89.5997,True,False
2,5723.6486,4413.8146,2e-06,-1.65403,1.628912,66.4365,True,False
3,2899.4251,2201.9401,2e-06,-0.324028,1.150518,46.9248,True,False
4,1864.7054,1730.0108,1e-06,-0.040257,1.0198,41.5934,True,False
5,1759.0816,1689.2797,1e-06,-0.015765,1.007723,41.1008,True,False
6,1753.4191,1686.6488,1e-06,-0.014183,1.006938,41.0688,True,False
7,1756.685,1688.3877,1e-06,-0.015229,1.007457,41.09,False,False
8,1757.0893,1688.9051,1e-06,-0.01554,1.007612,41.0963,False,False
9,1759.7195,1686.5227,1e-06,-0.014107,1.006901,41.0673,True,False
10,1752.2349,1684.9529,1e-06,-0.013164,1.006432,41.0482,True,False
11,1754.2119,1686.6853,1e-06,-0.014205,1.006949,41.0693,False,False
12,1758.2179,1685.9106,1e-06,-0.013739,1.006718,41.0598,False,False
13,1766.3372,1687.9265,1e-06,-0.014952,1.00732,41.0844,False,False
14,1760.7376,1687.0514,1e-06,-0.014425,1.007059,41.0737,False,False
15,1754.802,1684.1653,1e-06,-0.01269,1.006197,41.0386,True,False
16,1757.1072,1684.3124,1e-06,-0.012778,1.006241,41.0404,False,False
17,1759.5464,1686.6279,1e-06,-0.014171,1.006932,41.0686,False,False
18,1757.9438,1688.4568,1e-06,-0.01527,1.007478,41.0908,False,False
19,1753.6508,1683.6233,2.1e-05,-0.012364,1.006035,41.032,True,False
20,1759.6511,1684.7431,0.000175,-0.013037,1.006369,41.0456,False,False
21,1713.1579,1539.6901,0.104786,0.074183,0.962071,39.2389,True,False
22,993.5754,395.0476,0.706052,0.762458,0.487321,19.8758,True,False
23,422.4177,364.7863,0.846434,0.780654,0.468285,19.0994,True,False
24,384.9811,233.0511,0.917161,0.859866,0.374297,15.266,True,False
25,373.2909,218.7463,0.916179,0.868468,0.362628,14.7901,True,False
26,362.5642,368.0618,0.854502,0.778684,0.470382,19.1849,False,False
27,350.8594,197.4544,0.934693,0.881271,0.344528,14.0518,True,False
28,322.2669,195.3265,0.916601,0.88255,0.342666,13.9759,True,False
29,332.3666,227.7347,0.956533,0.863063,0.370003,15.0909,False,False
30,303.868,181.2882,0.922998,0.890991,0.330123,13.4643,True,False
31,295.9146,177.3905,0.940856,0.893335,0.326555,13.3188,True,False
