epoch,tr_loss,va_loss,va_PDR,va_R2,va_CBR,va_RMSE,is_best,stopped
1,5932.7357,4345.1981,7e-06,-3.308159,2.069658,65.9181,True,False
2,2628.133,1360.9189,4e-06,-0.349318,1.15827,36.8906,True,False
3,1110.7888,1009.8979,4e-06,-0.001289,0.997775,31.7789,True,False
4,1037.5778,1009.1062,4e-06,-0.000504,0.997384,31.7664,True,False
5,1042.6375,1009.49,4e-06,-0.000885,0.997573,31.7725,False,False
6,1037.9302,1009.2334,4e-06,-0.000631,0.997447,31.7684,False,False
7,1038.4621,1009.2329,3e-06,-0.00063,0.997446,31.7684,False,False
8,1037.2628,1009.0655,3e-06,-0.000464,0.997364,31.7658,True,False
9,1039.3235,1009.628,3e-06,-0.001022,0.997641,31.7746,False,False
10,1034.0617,1008.857,3e-06,-0.000257,0.99726,31.7625,True,False
11,1041.6843,1009.3038,3e-06,-0.0007,0.997481,31.7695,False,False
12,1040.7541,1008.6112,3e-06,-1.4e-05,0.997139,31.7586,True,False
13,1038.9579,1009.2656,3e-06,-0.000663,0.997462,31.7689,False,False
14,1037.9632,1009.0842,3e-06,-0.000483,0.997373,31.7661,False,False
15,1038.2302,1008.7609,2e-06,-0.000162,0.997213,31.761,False,False
16,1036.1634,1009.198,2e-06,-0.000596,0.997429,31.7679,False,False
17,1044.7849,1009.2002,2e-06,-0.000598,0.99743,31.7679,False,False
18,1038.8027,1009.4817,2e-06,-0.000877,0.997569,31.7723,False,False
19,1041.1326,1009.3969,2e-06,-0.000793,0.997527,31.771,False,False
20,1039.6499,1009.474,2e-06,-0.000869,0.997565,31.7722,False,False
21,1039.7462,1008.9543,1e-06,-0.000354,0.997309,31.764,False,False
22,1039.1155,1008.602,1e-06,-5e-06,0.997134,31.7585,True,False
23,1039.0254,1008.7946,1e-06,-0.000195,0.99723,31.7615,False,False
24,1039.0037,1008.918,1e-06,-0.000318,0.997291,31.7635,False,False
25,1038.9625,1009.032,2e-06,-0.000431,0.997347,31.7653,False,False
26,1039.6451,1010.2208,4e-06,-0.00161,0.997934,31.784,False,False
27,1035.6121,1009.5913,7e-06,-0.000985,0.997623,31.7741,False,False
28,1040.3513,1008.6182,1.2e-05,-2.1e-05,0.997142,31.7588,False,False
29,1040.9748,1009.5328,3.3e-05,-0.000928,0.997594,31.7731,False,False
30,1038.5746,1008.5495,8.1e-05,4.8e-05,0.997108,31.7577,True,False
31,1035.5189,985.5294,0.014382,0.022871,0.985663,31.3931,True,False
32,554.9025,175.2751,0.850586,0.826219,0.415675,13.2392,True,False
33,190.7234,150.1865,0.947939,0.851094,0.384777,12.2551,True,False
34,172.1556,114.1546,0.939457,0.886818,0.33546,10.6843,True,False
35,153.2998,102.4639,0.937999,0.89841,0.317819,10.1224,True,False
36,132.9245,94.6369,0.949979,0.90617,0.305439,9.7281,True,False
37,128.2119,87.7076,0.980407,0.91304,0.294044,9.3652,True,False
38,123.4893,100.7389,0.932572,0.90012,0.315132,10.0369,False,False
39,122.0263,84.2519,0.939918,0.916466,0.288193,9.1789,True,False
40,116.4523,85.8542,0.908594,0.914878,0.290921,9.2658,False,False
41,116.8484,91.9975,0.942632,0.908787,0.301149,9.5915,False,False
42,114.8106,81.4894,0.936683,0.919205,0.283429,9.0272,True,False
43,110.9757,77.7901,0.951214,0.922873,0.276921,8.8199,True,False
44,109.4028,78.6505,0.957433,0.92202,0.278448,8.8685,False,False
45,109.6607,93.4966,0.918424,0.9073,0.303593,9.6694,False,False
46,110.812,81.0124,0.980153,0.919678,0.282598,9.0007,False,False
47,106.1853,80.2765,0.946423,0.920408,0.281312,8.9597,False,False
48,105.3919,78.4399,0.940257,0.922229,0.278075,8.8566,False,False
49,104.6474,81.0752,0.941483,0.919616,0.282708,9.0042,False,False
50,103.8933,80.613,0.958419,0.920074,0.281901,8.9785,False,False
51,105.8629,78.222,0.938669,0.922445,0.277689,8.8443,False,False
