epoch,tr_loss,va_loss,va_PDR,va_R2,va_CBR,va_RMSE,is_best,stopped
1,8846.2191,7203.5156,5e-06,-3.173489,2.02783,84.8735,True,False
2,5352.6652,3308.2324,2e-06,-0.916685,1.374223,57.5172,True,False
3,2379.0478,1796.2126,2e-06,-0.040669,1.0126,42.3817,True,False
4,1757.9268,1726.0286,2e-06,-6e-06,0.99262,41.5455,True,False
5,1745.5401,1727.0006,2e-06,-0.00057,0.9929,41.5572,False,False
6,1746.4729,1726.9785,2e-06,-0.000557,0.992893,41.5569,False,False
7,1744.0778,1726.7544,2e-06,-0.000427,0.992829,41.5542,False,False
8,1739.9696,1727.17,2e-06,-0.000668,0.992949,41.5592,False,False
9,1743.0312,1726.3172,2e-06,-0.000174,0.992703,41.549,False,False
10,1741.1229,1726.4343,2e-06,-0.000242,0.992737,41.5504,False,False
11,1747.6055,1726.8365,2e-06,-0.000475,0.992853,41.5552,False,False
12,1741.3863,1727.2084,2e-06,-0.00069,0.99296,41.5597,False,False
13,1746.8209,1726.6171,1e-06,-0.000347,0.99279,41.5526,False,False
14,1744.948,1726.3802,1e-06,-0.00021,0.992721,41.5497,False,False
15,1740.7359,1726.3817,1e-06,-0.000211,0.992722,41.5498,False,False
16,1744.8463,1727.2768,1e-06,-0.00073,0.992979,41.5605,False,False
17,1743.8232,1726.3347,1e-06,-0.000184,0.992708,41.5492,False,False
18,1739.9377,1729.0099,1e-06,-0.001734,0.993477,41.5814,False,False
19,1744.6481,1726.4073,1e-06,-0.000226,0.992729,41.5501,False,True
