epoch,tr_loss,va_loss,va_PDR,va_R2,va_CBR,va_RMSE,is_best,stopped
1,23120.3014,20266.8584,2e-06,-1.468915,1.557792,142.3617,True,False
2,17734.3208,13944.749,1e-06,-0.698754,1.292175,118.0879,True,False
3,11999.9235,9386.2698,1e-06,-0.143438,1.060139,96.8828,True,False
4,9305.4651,8268.3993,1e-06,-0.007259,0.995009,90.9307,True,False
5,8920.9338,8212.3098,1e-06,-0.000426,0.991628,90.6218,True,False
6,8900.607,8210.3443,1e-06,-0.000187,0.991509,90.611,True,False
7,8891.9349,8208.8279,1e-06,-2e-06,0.991418,90.6026,True,False
8,8923.2028,8209.9725,1e-06,-0.000141,0.991487,90.6089,False,False
9,8915.1551,8210.0422,1e-06,-0.00015,0.991491,90.6093,False,False
10,8929.2603,8211.2636,1e-06,-0.000299,0.991565,90.616,False,False
11,8916.5892,8209.256,1e-06,-5.4e-05,0.991444,90.6049,False,False
12,8930.6394,8210.4429,1e-06,-0.000199,0.991515,90.6115,False,False
13,8924.4015,8209.6616,1e-06,-0.000103,0.991468,90.6072,False,False
14,8920.2889,8210.9379,1e-06,-0.000259,0.991545,90.6142,False,False
15,8909.8637,8210.0314,1e-06,-0.000149,0.99149,90.6092,False,False
16,8927.5737,8209.0641,1e-06,-3.1e-05,0.991432,90.6039,False,False
17,8928.6702,8209.862,1e-06,-0.000128,0.99148,90.6083,False,False
18,8909.3172,8210.8947,1e-06,-0.000254,0.991543,90.614,False,False
19,8927.8956,8209.2599,1e-06,-5.5e-05,0.991444,90.605,False,False
20,8909.4317,8209.3929,0.0,-7.1e-05,0.991452,90.6057,False,False
21,8932.4453,8209.4742,0.0,-8.1e-05,0.991457,90.6061,False,False
22,8913.684,8212.8166,0.0,-0.000488,0.991659,90.6246,False,False
23,8910.546,8210.5091,0.0,-0.000207,0.991519,90.6119,False,False
24,8927.6643,8212.3896,0.0,-0.000436,0.991633,90.6222,False,False
25,8935.2945,8213.6483,0.0,-0.000589,0.991709,90.6292,False,False
26,8924.5663,8209.6777,0.0,-0.000105,0.991469,90.6073,False,False
27,8913.6662,8208.9362,0.0,-1.5e-05,0.991424,90.6032,False,False
28,8914.5536,8213.9492,0.0,-0.000626,0.991727,90.6308,False,False
29,8925.8029,8218.3025,0.0,-0.001156,0.99199,90.6548,False,False
30,8921.9826,8209.9443,0.0,-0.000138,0.991485,90.6087,False,False
31,8936.762,8210.1398,1e-06,-0.000162,0.991497,90.6098,False,False
32,8938.6905,8210.9381,2e-06,-0.000259,0.991545,90.6142,False,False
33,8905.024,8209.1368,3e-06,-4e-05,0.991436,90.6043,False,False
34,8941.493,8209.0118,5e-06,-2.4e-05,0.991429,90.6036,False,False
35,8900.5696,8212.1235,9e-06,-0.000403,0.991617,90.6208,False,False
36,8908.5642,8209.8498,4e-05,-0.000126,0.991479,90.6082,False,False
