epoch,tr_loss,va_loss,va_PDR,va_R2,va_CBR,va_RMSE,is_best,stopped
1,6187.4834,4877.4951,4e-06,-3.786664,2.178817,69.8391,True,False
2,3391.3035,1954.9737,2e-06,-0.918567,1.379408,44.2151,True,False
3,1371.6733,1051.8247,2e-06,-0.032237,1.011799,32.4318,True,False
4,1045.1524,1019.0601,2e-06,-8.3e-05,0.995915,31.9227,True,False
5,1032.4662,1018.9933,2e-06,-1.7e-05,0.995882,31.9217,True,False
6,1035.6185,1019.0839,2e-06,-0.000106,0.995927,31.9231,False,False
7,1038.0498,1018.9899,2e-06,-1.4e-05,0.995881,31.9216,True,False
8,1037.2421,1019.083,2e-06,-0.000105,0.995926,31.9231,False,False
9,1034.9015,1018.9836,2e-06,-7e-06,0.995878,31.9215,True,False
10,1037.6446,1019.014,2e-06,-3.7e-05,0.995893,31.922,False,False
11,1036.2518,1018.9788,2e-06,-3e-06,0.995875,31.9214,True,False
12,1039.2333,1019.3634,2e-06,-0.00038,0.996063,31.9275,False,False
13,1036.6748,1019.0035,2e-06,-2.7e-05,0.995887,31.9218,False,False
14,1036.1586,1019.1575,2e-06,-0.000178,0.995963,31.9242,False,False
15,1037.7347,1018.9793,1e-06,-3e-06,0.995876,31.9215,False,False
16,1036.5858,1018.9912,1e-06,-1.5e-05,0.995881,31.9216,False,False
17,1039.7072,1018.9779,1e-06,-2e-06,0.995875,31.9214,True,False
18,1032.9691,1019.1628,1e-06,-0.000183,0.995965,31.9243,False,False
19,1039.5991,1018.9915,1e-06,-1.5e-05,0.995882,31.9216,False,False
20,1037.5941,1019.1395,1e-06,-0.00016,0.995954,31.924,False,False
21,1037.5993,1018.9936,1e-06,-1.7e-05,0.995883,31.9217,False,False
22,1036.6749,1018.9776,1e-06,-2e-06,0.995875,31.9214,True,False
23,1032.6389,1019.0801,1e-06,-0.000102,0.995925,31.923,False,False
24,1032.1922,1019.0497,1e-06,-7.2e-05,0.99591,31.9226,False,False
25,1039.2517,1019.0163,1e-06,-4e-05,0.995894,31.922,False,False
26,1037.4982,1019.2617,1e-06,-0.00028,0.996014,31.9259,False,False
27,1036.8032,1019.0251,1e-06,-4.8e-05,0.995898,31.9222,False,False
28,1034.1104,1019.0532,1e-06,-7.6e-05,0.995912,31.9226,False,False
29,1034.8325,1019.1384,1e-06,-0.000159,0.995953,31.9239,False,False
30,1037.7696,1019.5883,1e-06,-0.000601,0.996173,31.931,False,False
31,1036.2211,1019.1522,1e-06,-0.000173,0.99596,31.9242,False,False
32,1040.3281,1018.9746,2e-06,1e-06,0.995873,31.9214,True,False
33,1034.1241,1018.9839,4e-06,-8e-06,0.995878,31.9215,False,False
34,1038.7212,1019.3212,5e-06,-0.000339,0.996043,31.9268,False,False
35,1039.0493,1019.1313,8e-06,-0.000152,0.99595,31.9238,False,False
36,1036.4317,1018.9506,1.5e-05,2.5e-05,0.995862,31.921,True,False
37,1036.2917,1018.9655,3.2e-05,1e-05,0.995869,31.9212,False,False
38,1035.193,1016.7808,0.001267,0.002154,0.994801,31.887,True,False
39,699.3124,447.0443,0.620983,0.561281,0.659626,21.1434,True,False
40,236.2019,260.2915,0.96186,0.744556,0.50333,16.1336,True,False
41,189.291,174.9856,0.918128,0.828273,0.41269,13.2282,True,False
42,162.2594,147.5834,0.926602,0.855165,0.379002,12.1484,True,False
43,149.3985,299.4482,0.853107,0.706128,0.539863,17.3046,False,False
44,152.8045,119.8015,0.904422,0.882429,0.341471,10.9454,True,False
45,138.7213,139.9578,0.890098,0.862649,0.36908,11.8304,False,False
46,136.7206,115.1052,0.938416,0.887038,0.334711,10.7287,True,False
47,133.8772,154.6343,0.909751,0.848245,0.38795,12.4352,False,False
48,130.241,112.3023,0.962906,0.889789,0.330611,10.5973,True,False
49,130.22,118.5289,0.944581,0.883678,0.339652,10.8871,False,False
50,129.2168,107.3061,0.921613,0.894692,0.323173,10.3589,True,False
51,120.205,113.939,0.963888,0.888183,0.333011,10.6742,False,False
52,122.857,123.547,0.938902,0.878754,0.346768,11.1152,False,False
53,119.1854,96.6874,0.918924,0.905113,0.306766,9.833,True,False
54,113.7696,110.3902,0.927181,0.891666,0.327784,10.5067,False,False
55,117.1433,141.7905,0.928311,0.86085,0.371489,11.9076,False,False
56,122.9168,109.5583,0.958055,0.892482,0.326546,10.467,False,False
57,113.0354,104.1558,0.949822,0.897784,0.318393,10.2057,False,False
58,111.7253,108.5337,0.933491,0.893488,0.325016,10.4179,False,False
59,113.2719,98.4659,0.938831,0.903368,0.309575,9.923,False,False
60,109.9857,102.2126,0.953086,0.899691,0.315409,10.11,False,False
61,111.0973,105.8883,0.9691,0.896084,0.321031,10.2902,False,False
62,116.3174,104.3606,0.926396,0.897583,0.318706,10.2157,False,False
63,111.4987,95.1925,0.937145,0.90658,0.304385,9.7567,True,False
64,110.1943,98.5278,0.945424,0.903307,0.309672,9.9261,False,False
65,106.2421,98.9184,0.911239,0.902924,0.310285,9.9458,False,False
66,104.9346,101.3392,0.962778,0.900548,0.314059,10.0667,False,False
67,105.0379,90.6482,0.944029,0.91104,0.297031,9.5209,True,False
68,101.8406,123.8856,0.949527,0.878421,0.347242,11.1304,False,False
69,116.3461,95.0827,0.940021,0.906688,0.30421,9.751,False,False
70,104.8057,89.5151,0.941234,0.912152,0.295169,9.4612,True,False
71,101.8711,89.5977,0.950333,0.912071,0.295305,9.4656,False,False
72,101.9118,97.3532,0.952342,0.90446,0.30782,9.8668,False,False
73,102.7758,145.3808,0.919691,0.857327,0.376163,12.0574,False,False
74,106.7212,106.0472,0.934109,0.895928,0.321271,10.2979,False,False
75,101.91,90.7935,0.946243,0.910897,0.297269,9.5286,False,False
76,100.7894,91.6531,0.963358,0.910054,0.298673,9.5736,False,False
77,100.3188,90.5042,0.961538,0.911181,0.296795,9.5134,False,False
78,97.7923,95.3508,0.942585,0.906425,0.304638,9.7648,False,False
79,98.8613,92.3554,0.920095,0.909365,0.299815,9.6102,False,False
80,97.6624,88.9035,0.93091,0.912752,0.294159,9.4289,True,False
81,98.2356,94.0966,0.969588,0.907656,0.302628,9.7003,False,False
82,100.5141,119.2954,0.925727,0.882926,0.340749,10.9222,False,False
83,98.1222,99.0192,0.924116,0.902825,0.310443,9.9508,False,False
84,99.4591,90.5997,0.925873,0.911087,0.296952,9.5184,False,False
85,95.4516,91.8966,0.922084,0.909815,0.299069,9.5863,False,False
86,100.2415,89.8161,0.922961,0.911857,0.295665,9.4771,False,False
87,94.3107,99.144,0.987388,0.902702,0.310639,9.9571,False,False
88,96.5987,99.1571,0.936738,0.902689,0.310659,9.9578,False,False
89,95.7401,90.0627,0.964235,0.911614,0.29607,9.4901,False,False
90,93.1899,85.1698,0.921924,0.916416,0.287916,9.2287,True,False
91,93.7737,104.6688,0.926907,0.89728,0.319177,10.2308,False,False
92,94.1563,113.825,0.961033,0.888295,0.332844,10.6689,False,False
93,95.5259,92.8706,0.925587,0.908859,0.30065,9.6369,False,False
94,92.2367,88.2096,0.922048,0.913433,0.293009,9.392,False,False
95,91.4849,84.9789,0.956215,0.916604,0.287593,9.2184,True,False
96,91.8633,90.4579,0.925419,0.911227,0.296719,9.5109,False,False
97,96.5799,91.9284,0.944455,0.909783,0.299121,9.5879,False,False
98,91.4157,152.4926,0.964208,0.850347,0.385254,12.3488,False,False
99,101.7096,103.8921,0.928956,0.898043,0.31799,10.1927,False,False
100,96.9561,97.9984,0.943435,0.903827,0.308839,9.8994,False,False
101,92.2835,85.8014,0.917216,0.915796,0.288981,9.2629,False,False
102,87.91,81.6862,0.950584,0.919835,0.281966,9.038,True,False
103,87.4705,90.4564,0.928126,0.911228,0.296717,9.5109,False,False
104,88.8962,83.028,0.938854,0.918518,0.284272,9.112,False,False
105,89.8617,82.8315,0.935918,0.918711,0.283936,9.1012,False,False
106,91.7043,86.6528,0.93606,0.914961,0.290411,9.3088,False,False
107,87.6333,82.0361,0.92409,0.919492,0.282569,9.0574,False,False
108,86.6809,89.6701,0.94415,0.912,0.295424,9.4694,False,False
109,86.1441,115.3082,0.964413,0.886839,0.335006,10.7382,False,False
110,87.5604,82.0712,0.939241,0.919457,0.28263,9.0593,False,False
111,83.5186,82.6924,0.913179,0.918848,0.283697,9.0935,False,False
112,85.4104,129.5302,0.92657,0.872882,0.355065,11.3811,False,False
113,98.6664,80.5278,0.951263,0.920972,0.27996,8.9737,True,False
114,82.0396,80.3142,0.958365,0.921181,0.279588,8.9618,True,False
115,83.0586,88.7021,0.975356,0.91295,0.293825,9.4182,False,False
116,82.8764,81.3255,0.968955,0.920189,0.281343,9.0181,False,False
117,82.1547,105.991,0.950781,0.895983,0.321186,10.2952,False,False
118,87.9237,81.5506,0.975416,0.919968,0.281732,9.0305,False,False
119,80.5938,110.9485,0.903819,0.891118,0.328612,10.5332,False,False
120,83.0969,92.731,0.934041,0.908996,0.300424,9.6297,False,False
121,85.7085,89.1466,0.893873,0.912514,0.294561,9.4417,False,False
122,84.9945,77.0634,0.951093,0.924372,0.273871,8.7786,True,False
123,78.8885,74.2644,0.950135,0.927119,0.268852,8.6177,True,False
124,77.8962,78.7851,0.943722,0.922682,0.276914,8.8761,False,False
125,78.4346,78.5657,0.934901,0.922897,0.276528,8.8637,False,False
126,77.4165,75.5418,0.949068,0.925865,0.271154,8.6915,False,False
127,74.7596,91.7403,0.96013,0.909968,0.298815,9.5781,False,False
128,82.4605,77.9041,0.954966,0.923547,0.275361,8.8263,False,False
129,77.2942,74.6114,0.932595,0.926778,0.269479,8.6378,False,False
130,74.7385,71.4176,0.958292,0.929912,0.263648,8.4509,True,False
131,74.7786,90.4025,0.956658,0.911281,0.296628,9.508,False,False
132,74.8134,72.641,0.960096,0.928712,0.265897,8.523,False,False
133,72.1729,75.222,0.918387,0.926179,0.270579,8.6731,False,False
134,72.9942,81.2722,0.949354,0.920241,0.281251,9.0151,False,False
135,76.4606,106.687,0.947919,0.8953,0.322239,10.3289,False,False
136,87.4505,81.8379,0.964895,0.919686,0.282228,9.0464,False,False
137,79.5209,67.7342,0.962422,0.933527,0.256759,8.2301,True,False
138,71.0717,68.8518,0.953888,0.93243,0.258869,8.2977,False,False
139,70.6563,69.3204,0.967621,0.931971,0.259748,8.3259,False,False
140,70.0123,71.9275,0.943675,0.929412,0.264588,8.481,False,False
141,69.7594,74.1451,0.954102,0.927236,0.268636,8.6108,False,False
142,72.8009,67.6896,0.944773,0.933571,0.256675,8.2274,True,False
143,69.2092,123.6497,0.957743,0.878653,0.346912,11.1198,False,False
144,81.1008,67.8304,0.949782,0.933433,0.256942,8.2359,False,False
145,69.3657,69.5514,0.955387,0.931744,0.260181,8.3397,False,False
146,68.3408,89.569,0.946779,0.912099,0.295258,9.4641,False,False
147,73.6411,69.6634,0.957053,0.931634,0.26039,8.3465,False,False
148,68.1259,66.0653,0.960204,0.935165,0.253577,8.1281,True,False
149,68.0394,72.1235,0.958187,0.92922,0.264948,8.4926,False,False
150,67.3777,67.4849,0.962202,0.933772,0.256286,8.2149,False,False
151,68.472,72.774,0.952694,0.928581,0.26614,8.5308,False,False
152,68.0251,66.0826,0.938186,0.935148,0.25361,8.1291,False,False
153,68.271,76.9472,0.936328,0.924486,0.273665,8.772,False,False
154,65.4668,79.5189,0.949359,0.921962,0.2782,8.9173,False,False
155,74.239,68.3952,0.971872,0.932878,0.258009,8.2701,False,False
156,65.3543,76.8901,0.924827,0.924542,0.273563,8.7687,False,False
157,73.4826,70.602,0.94058,0.930713,0.262139,8.4025,False,False
158,65.5984,68.2507,0.964167,0.93302,0.257737,8.2614,False,False
159,64.7375,75.9492,0.971606,0.925465,0.271884,8.7149,False,False
160,62.6333,67.8873,0.944291,0.933377,0.257049,8.2394,False,False
161,64.0804,67.763,0.930035,0.933499,0.256814,8.2318,False,False
162,63.7593,78.0745,0.931864,0.923379,0.275662,8.836,False,False
163,65.096,67.6564,0.961691,0.933604,0.256612,8.2253,False,True
