cond_a,cond_b,cond_c,n_runs,n_collapsed,mpc_rate,rmse_mean,rmse_std,pdr_mean,r2_mean,stop_ep_mean
A1_fixed,B1_off,C1_unclipped,10,0,0.0,31.86,2.839,1.3994088999999998,0.403398,200.0
A1_fixed,B1_off,C2_clip125,10,0,0.0,12.371,0.491,0.9973451000000001,0.9000933,200.0
A1_fixed,B1_off,C3_clip100,10,0,0.0,7.479,0.285,0.9886404000000001,0.9460659,200.0
A1_fixed,B2_from0,C1_unclipped,10,9,0.9,56.14,6.852,0.1492878,-0.8638990999999999,21.6
A1_fixed,B2_from0,C2_clip125,10,8,0.8,35.96,11.825,0.19942339999999997,0.0749698,38.7
A1_fixed,B2_from0,C3_clip100,10,5,0.5,21.002,13.01,0.4903143,0.42855689999999996,64.8
A1_fixed,B3_warmup,C1_unclipped,10,0,0.0,37.47,4.44,1.4797895,0.17029529999999998,68.4
A1_fixed,B3_warmup,C2_clip125,10,0,0.0,12.417,1.041,1.0016969,0.8988472,108.1
A1_fixed,B3_warmup,C3_clip100,10,0,0.0,8.252,1.2,0.9769694,0.9331672,110.4
A2_per_seed,B1_off,C1_unclipped,10,0,0.0,36.256,6.99,1.4662967,0.2072448,200.0
A2_per_seed,B1_off,C2_clip125,10,0,0.0,12.461,0.754,1.0110264,0.8984377,200.0
A2_per_seed,B1_off,C3_clip100,10,0,0.0,7.864,0.661,0.9875173,0.9400698999999999,200.0
A2_per_seed,B2_from0,C1_unclipped,10,4,0.4,49.222,12.634,0.8911192,-0.4976819,53.4
A2_per_seed,B2_from0,C2_clip125,10,3,0.3,21.503,14.023,0.7158538,0.5831983000000001,102.7
A2_per_seed,B2_from0,C3_clip100,10,0,0.0,8.434,0.745,0.9824669,0.9310205999999999,122.6
A2_per_seed,B3_warmup,C1_unclipped,10,0,0.0,38.788,7.778,1.4665217,0.09024479999999999,81.5
A2_per_seed,B3_warmup,C2_clip125,10,0,0.0,12.732,0.543,1.0191067999999999,0.8941475000000001,133.4
A2_per_seed,B3_warmup,C3_clip100,10,0,0.0,8.434,0.745,0.9824669,0.9310205999999999,122.6
A3_stratified,B1_off,C1_unclipped,10,0,0.0,33.93,6.166,1.4118979,0.3081826,200.0
A3_stratified,B1_off,C2_clip125,10,0,0.0,12.307,0.528,1.0180125,0.9011004,200.0
A3_stratified,B1_off,C3_clip100,10,0,0.0,8.095,0.842,0.9834374,0.9362807,200.0
A3_stratified,B2_from0,C1_unclipped,10,5,0.5,51.15,13.518,0.7445250999999999,-0.6227642,55.2
A3_stratified,B2_from0,C2_clip125,10,3,0.3,21.994,13.837,0.7054026999999999,0.5723175,82.6
A3_stratified,B2_from0,C3_clip100,10,3,0.3,16.488,11.774,0.6848274,0.6180591,89.6
A3_stratified,B3_warmup,C1_unclipped,10,0,0.0,37.777,7.563,1.4459983,0.1371454,84.1
A3_stratified,B3_warmup,C2_clip125,10,0,0.0,13.202,1.351,1.0117066,0.8853128,114.9
A3_stratified,B3_warmup,C3_clip100,10,0,0.0,8.7,1.165,0.9803219999999999,0.9259263000000001,127.8
