cond_a,cond_b,cond_c,seed,clip,stop_epoch,RMSE,NASA,test_PDR,test_R2,test_CBR,test_RMSE_const,val_PDR,val_R2,val_CBR,val_RMSE,elapsed_s,is_collapsed
A1_fixed,B1_off,C1_unclipped,0,None,200,29.8443,61979.75,1.358619,0.480226,0.396971,75.1801,0.918542,0.741607,0.494286,44.4478,44.6,False
A1_fixed,B1_off,C1_unclipped,1,None,200,30.0707,47108.3,1.362151,0.47231,0.399983,75.1801,0.910526,0.744517,0.491495,44.1968,42.9,False
A1_fixed,B1_off,C1_unclipped,2,None,200,35.9686,29996982.77,1.510818,0.245016,0.478432,75.1801,0.943008,0.752623,0.483635,43.4899,44.3,False
A1_fixed,B1_off,C1_unclipped,3,None,200,29.5809,29507.9,1.353772,0.489362,0.393467,75.1801,0.877561,0.736136,0.499491,44.9158,43.4,False
A1_fixed,B1_off,C1_unclipped,4,None,200,35.0517,6194174.56,1.454817,0.283016,0.466237,75.1801,0.91285,0.761176,0.4752,42.7315,42.2,False
A1_fixed,B1_off,C1_unclipped,5,None,200,29.65,1208859.72,1.352272,0.486973,0.394386,75.1801,0.855772,0.745314,0.490728,44.1278,43.1,False
A1_fixed,B1_off,C1_unclipped,6,None,200,31.3416,127221.33,1.348496,0.426765,0.416887,75.1801,0.858783,0.758924,0.477436,42.9325,43.2,False
A1_fixed,B1_off,C1_unclipped,7,None,200,29.9751,150437.46,1.370303,0.475661,0.398711,75.1801,0.890628,0.738336,0.497405,44.7282,43.5,False
A1_fixed,B1_off,C1_unclipped,8,None,200,36.6051,1913250.38,1.487643,0.218059,0.486899,75.1801,0.942135,0.752049,0.484196,43.5404,42.6,False
A1_fixed,B1_off,C1_unclipped,9,None,200,30.5153,48932.96,1.395198,0.456592,0.405896,75.1801,0.902806,0.733835,0.501665,45.1113,43.3,False
A1_fixed,B1_off,C2_clip125,0,125,200,12.1478,326.06,0.978793,0.903801,0.277981,43.7,0.947367,0.932392,0.257096,10.8351,42.8,False
A1_fixed,B1_off,C2_clip125,1,125,200,12.0505,328.0,0.999037,0.905336,0.275754,43.7,0.957063,0.9318,0.25822,10.8825,43.0,False
A1_fixed,B1_off,C2_clip125,2,125,200,11.8474,321.92,1.004694,0.908499,0.271108,43.7,0.953884,0.927759,0.26576,11.2003,43.0,False
A1_fixed,B1_off,C2_clip125,3,125,200,12.1019,303.06,1.031886,0.904526,0.276931,43.7,0.97493,0.932575,0.256749,10.8205,43.2,False
A1_fixed,B1_off,C2_clip125,4,125,200,12.2827,288.19,1.010255,0.901652,0.281068,43.7,0.965475,0.932284,0.257303,10.8438,43.3,False
A1_fixed,B1_off,C2_clip125,5,125,200,13.1745,367.56,0.962859,0.886851,0.301477,43.7,0.936422,0.929653,0.262253,11.0525,42.8,False
A1_fixed,B1_off,C2_clip125,6,125,200,12.0992,282.57,0.989379,0.904568,0.276869,43.7,0.946696,0.928991,0.263484,11.1044,43.6,False
A1_fixed,B1_off,C2_clip125,7,125,200,12.0129,289.16,1.006589,0.905924,0.274895,43.7,0.957505,0.931264,0.259233,10.9252,43.7,False
A1_fixed,B1_off,C2_clip125,8,125,200,13.1218,358.91,0.990129,0.887756,0.300269,43.7,0.951945,0.93589,0.250357,10.5511,43.8,False
A1_fixed,B1_off,C2_clip125,9,125,200,12.8701,344.62,0.99983,0.89202,0.29451,43.7,0.955364,0.930838,0.260035,10.959,43.5,False
A1_fixed,B1_off,C3_clip100,0,100,200,7.1168,89.74,0.990974,0.951224,0.207049,34.3728,0.971655,0.954583,0.211462,6.8748,43.9,False
A1_fixed,B1_off,C3_clip100,1,100,200,7.0708,86.52,0.989229,0.951853,0.20571,34.3728,0.972866,0.95409,0.212606,6.912,43.2,False
A1_fixed,B1_off,C3_clip100,2,100,200,7.576,95.31,0.988284,0.944728,0.220406,34.3728,0.966996,0.951727,0.21801,7.0877,43.0,False
A1_fixed,B1_off,C3_clip100,3,100,200,7.2079,86.68,0.983669,0.949969,0.209696,34.3728,0.970126,0.955839,0.208519,6.7791,43.3,False
A1_fixed,B1_off,C3_clip100,4,100,200,7.7681,97.59,0.97635,0.941889,0.225995,34.3728,0.965667,0.949765,0.222396,7.2303,42.8,False
A1_fixed,B1_off,C3_clip100,5,100,200,7.6462,101.08,0.997654,0.943699,0.222448,34.3728,0.984381,0.948462,0.225261,7.3234,43.1,False
A1_fixed,B1_off,C3_clip100,6,100,200,7.4585,89.26,1.002583,0.946429,0.216988,34.3728,0.991242,0.950147,0.22155,7.2028,43.0,False
A1_fixed,B1_off,C3_clip100,7,100,200,7.3717,95.89,0.978051,0.947669,0.214462,34.3728,0.959355,0.956481,0.206996,6.7296,43.2,False
