epoch,tr_loss,va_loss,va_PDR,va_R2,va_CBR,va_RMSE,is_best,stopped
1,8485.5229,6045.1068,9e-06,-2.48122,1.844857,77.7503,True,False
2,4137.2974,2234.3987,4e-06,-0.286732,1.121608,47.2694,True,False
3,1889.2522,1737.219,3e-06,-0.000419,0.988981,41.68,True,False
4,1737.3093,1740.2604,3e-06,-0.002171,0.989846,41.7164,False,False
5,1736.7199,1741.5046,3e-06,-0.002887,0.9902,41.7313,False,False
6,1740.0532,1741.9717,3e-06,-0.003156,0.990333,41.7369,False,False
7,1745.0589,1743.9897,3e-06,-0.004319,0.990906,41.7611,False,False
8,1739.8917,1741.0716,3e-06,-0.002638,0.990077,41.7262,False,False
9,1738.3506,1747.4414,3e-06,-0.006306,0.991886,41.8024,False,False
10,1735.011,1739.3555,3e-06,-0.00165,0.989589,41.7056,False,False
11,1740.745,1743.3061,3e-06,-0.003925,0.990712,41.7529,False,False
12,1741.9382,1740.0308,2e-06,-0.002039,0.989781,41.7137,False,False
13,1743.6028,1740.6675,2e-06,-0.002405,0.989962,41.7213,False,True
