epoch,tr_loss,va_loss,va_PDR,va_R2,va_CBR,va_RMSE,is_best,stopped
1,9708.7223,9248.625,0.00046,-4.326044,2.281914,96.1698,True,False
2,9501.4055,8889.3762,0.000165,-4.119161,2.237156,94.2835,True,False
3,9136.9013,8562.0287,4.9e-05,-3.930651,2.195579,92.5312,True,False
4,8809.9552,8252.2678,2.9e-05,-3.752267,2.155496,90.842,True,False
5,8492.9632,7947.0523,1.9e-05,-3.576502,2.115259,89.1462,True,False
6,8174.683,7636.9627,1.4e-05,-3.397929,2.073581,87.3897,True,False
7,7852.0195,7317.5977,1.1e-05,-3.214015,2.029761,85.543,True,False
8,7515.9529,6990.3284,9e-06,-3.025549,1.983853,83.6082,True,False
9,7175.0044,6656.7905,7e-06,-2.833473,1.935945,81.5892,True,False
10,6828.123,6319.3817,6e-06,-2.639168,1.886244,79.4945,True,False
11,6477.6912,5980.1534,5e-06,-2.443816,1.834919,77.3315,True,False
12,6121.5048,5641.9615,5e-06,-2.249059,1.782279,75.113,True,False
13,5773.9385,5307.0111,4e-06,-2.05617,1.728565,72.8492,True,False
14,5432.6876,4981.3595,4e-06,-1.868636,1.67469,70.5787,True,False
15,5094.3951,4662.6245,3e-06,-1.685084,1.620227,68.2834,True,False
16,4767.6906,4358.0584,3e-06,-1.509693,1.566416,66.0156,True,False
17,4452.4128,4064.6897,3e-06,-1.340749,1.512775,63.7549,True,False
18,4158.1605,3787.2947,3e-06,-1.181005,1.460243,61.541,True,False
19,3873.0282,3528.609,3e-06,-1.032035,1.409491,59.4021,True,False
20,3608.6488,3286.3702,2e-06,-0.892535,1.36025,57.3269,True,False
21,3363.5899,3065.3079,2e-06,-0.765231,1.313704,55.3652,True,False
22,3134.2315,2862.8096,2e-06,-0.648618,1.269571,53.5052,True,False
23,2929.2172,2680.1685,2e-06,-0.54344,1.228405,51.7703,True,False
24,2746.7923,2517.4886,2e-06,-0.449756,1.190541,50.1746,True,False
25,2574.7012,2364.7163,2e-06,-0.361779,1.153852,48.6283,True,False
26,2415.6717,2232.1746,2e-06,-0.285451,1.121049,47.2459,True,False
27,2281.4546,2120.4776,2e-06,-0.221128,1.092641,46.0486,True,False
28,2169.1024,2026.9984,2e-06,-0.167296,1.068285,45.0222,True,False
29,2068.6047,1951.1166,2e-06,-0.123597,1.048099,44.1714,True,False
30,1988.5259,1891.7828,2e-06,-0.089429,1.032039,43.4946,True,False
31,1930.2499,1845.2331,2e-06,-0.062622,1.019263,42.9562,True,False
32,1878.6266,1809.887,2e-06,-0.042267,1.009454,42.5428,True,False
33,1839.3473,1784.4449,2e-06,-0.027616,1.002333,42.2427,True,False
34,1811.1512,1766.2834,1e-06,-0.017157,0.99722,42.0272,True,False
35,1787.5174,1753.9904,1e-06,-0.010078,0.993743,41.8807,True,False
36,1774.8025,1745.9424,1e-06,-0.005443,0.991461,41.7845,True,False
37,1764.3048,1740.7555,1e-06,-0.002456,0.989987,41.7224,True,False
38,1753.187,1737.9455,1e-06,-0.000838,0.989188,41.6887,True,False
39,1752.714,1736.7784,1e-06,-0.000166,0.988855,41.6747,True,False
40,1747.8322,1736.5004,1e-06,-6e-06,0.988776,41.6713,True,False
41,1745.1421,1736.7955,1e-06,-0.000176,0.98886,41.6749,False,False
42,1744.2328,1737.3143,1e-06,-0.000474,0.989008,41.6811,False,False
43,1742.8003,1737.9482,1e-06,-0.000839,0.989188,41.6887,False,False
44,1744.4663,1738.6293,1e-06,-0.001232,0.989382,41.6969,False,False
45,1746.1382,1739.1591,1e-06,-0.001537,0.989533,41.7032,False,False
46,1744.2731,1739.9077,1e-06,-0.001968,0.989746,41.7122,False,False
47,1744.5432,1740.1097,1e-06,-0.002084,0.989803,41.7146,False,False
48,1741.6551,1740.2932,1e-06,-0.00219,0.989856,41.7168,False,False
49,1740.4638,1740.517,1e-06,-0.002319,0.989919,41.7195,False,False
50,1743.2864,1740.5073,1e-06,-0.002313,0.989916,41.7194,False,False
51,1741.7306,1740.9027,1e-06,-0.002541,0.990029,41.7241,False,False
52,1742.1797,1741.0117,1e-06,-0.002604,0.99006,41.7254,False,False
53,1745.5745,1741.2599,1e-06,-0.002746,0.99013,41.7284,False,False
54,1746.8491,1741.2994,1e-06,-0.002769,0.990142,41.7289,False,False
55,1738.016,1741.3151,1e-06,-0.002778,0.990146,41.7291,False,True
