epoch,tr_loss,va_loss,va_PDR,va_R2,va_CBR,va_RMSE,is_best,stopped
1,1637.3424,1496.2466,0.149712,0.13835,0.91783,38.6813,True,False
2,997.0315,724.7997,0.584255,0.582607,0.638807,26.9221,True,False
3,513.7516,464.3492,0.824159,0.732593,0.511308,21.5488,True,False
4,313.1926,288.0069,0.820163,0.834144,0.402682,16.9708,True,False
5,263.975,281.3006,0.9062,0.838006,0.397966,16.772,True,False
6,241.4301,232.3448,0.953889,0.866199,0.361682,15.2429,True,False
7,230.9621,247.2,0.940238,0.857644,0.373065,15.7226,False,False
8,231.2149,212.4585,0.922527,0.877651,0.345858,14.576,True,False
9,210.4311,200.7345,0.904948,0.884402,0.33618,14.1681,True,False
10,206.3994,223.9743,0.905977,0.871019,0.355107,14.9658,False,False
11,202.1766,196.688,0.925879,0.886732,0.332774,14.0246,True,False
12,199.4775,160.9792,0.945613,0.907296,0.301055,12.6878,True,False
13,194.3796,180.2698,0.952709,0.896187,0.318583,13.4265,False,False
14,181.229,174.4494,0.936398,0.899539,0.313397,13.2079,False,False
15,174.9774,179.6958,0.961903,0.896518,0.318075,13.4051,False,False
16,176.2347,218.2197,0.914511,0.874333,0.350516,14.7723,False,False
17,175.654,147.8154,0.974704,0.914877,0.288483,12.1579,True,False
18,165.0329,167.2943,0.949739,0.90366,0.306903,12.9342,False,False
19,160.7102,144.9034,0.95899,0.916554,0.285627,12.0376,True,False
20,157.6985,148.9117,0.942062,0.914246,0.289551,12.2029,False,False
21,151.7794,172.105,0.958366,0.900889,0.311284,13.1189,False,False
22,159.7617,156.3445,0.946307,0.909965,0.296689,12.5038,False,False
23,149.6611,144.4303,0.958499,0.916826,0.285161,12.0179,True,False
24,150.0877,177.6179,0.937266,0.897714,0.316231,13.3273,False,False
25,145.284,152.0761,0.943003,0.912423,0.292611,12.3319,False,False
26,148.4147,154.73,0.925418,0.910895,0.295153,12.439,False,False
27,140.5765,200.7642,0.89581,0.884385,0.336205,14.1691,False,False
28,146.0047,159.7548,0.971547,0.908001,0.299908,12.6394,False,False
29,141.8788,154.0813,0.981023,0.911269,0.294534,12.4129,False,False
30,145.326,152.6127,0.970696,0.912114,0.293127,12.3537,False,False
31,137.8182,151.8541,0.976303,0.912551,0.292398,12.3229,False,False
32,136.9722,130.5648,0.933263,0.924811,0.271128,11.4265,True,False
33,135.3223,165.5108,0.926133,0.904687,0.305263,12.8651,False,False
34,140.4298,166.0346,0.922526,0.904385,0.305745,12.8854,False,False
35,134.0581,161.4733,0.976465,0.907012,0.301516,12.7072,False,False
36,135.6842,165.5875,0.982575,0.904642,0.305333,12.8681,False,False
37,140.5765,161.753,0.934558,0.906851,0.301777,12.7182,False,False
38,132.9537,141.8462,0.965509,0.918314,0.282598,11.9099,False,False
39,129.6233,155.8671,0.970197,0.91024,0.296236,12.4847,False,False
40,130.2623,141.7298,0.96346,0.918381,0.282482,11.905,False,False
41,127.9303,146.8655,0.964818,0.915424,0.287555,12.1188,False,False
42,128.3575,142.5769,0.979544,0.917894,0.283325,11.9406,False,False
43,124.6728,169.9048,0.905037,0.902156,0.309288,13.0348,False,False
44,128.6963,172.7714,0.937429,0.900505,0.311886,13.1443,False,False
45,129.7422,167.6337,0.983665,0.903464,0.307214,12.9473,False,False
46,125.7871,145.2027,0.979835,0.916382,0.285922,12.05,False,False
47,127.7122,141.3842,0.946258,0.91858,0.282138,11.8905,False,True
