epoch,tr_loss,va_loss,va_PDR,va_R2,va_CBR,va_RMSE,is_best,stopped
1,1594.27,1313.7082,0.207059,0.243469,0.860023,36.2451,True,False
2,821.2636,656.3167,0.720814,0.622044,0.607879,25.6187,True,False
3,367.1391,274.5816,0.843721,0.841876,0.393184,16.5705,True,False
4,283.6689,288.3529,0.883063,0.833945,0.402924,16.981,False,False
5,241.6021,335.5389,0.924927,0.806772,0.434642,18.3177,False,False
6,245.8204,214.9418,0.89287,0.876221,0.347873,14.6609,True,False
7,233.6382,210.3637,0.897135,0.878857,0.344149,14.5039,True,False
8,215.6253,204.1889,0.949236,0.882413,0.33906,14.2895,True,False
9,208.1724,245.257,0.903542,0.858763,0.371596,15.6607,False,False
10,216.7194,187.3777,0.931012,0.892094,0.324803,13.6886,True,False
11,193.5742,184.6623,0.931944,0.893658,0.322441,13.5891,True,False
12,194.2636,182.8436,0.973248,0.894705,0.320849,13.522,True,False
13,188.9919,193.7373,0.903667,0.888432,0.330269,13.919,False,False
14,184.4948,174.4809,0.968858,0.899521,0.313426,13.2091,True,False
15,177.2366,195.0778,0.946714,0.88766,0.331409,13.967,False,False
16,165.6358,195.7575,0.909569,0.887268,0.331986,13.9913,False,False
17,172.2275,159.293,0.945663,0.908267,0.299474,12.6211,True,False
18,167.8558,158.9768,0.91303,0.908449,0.299177,12.6086,True,False
19,171.2098,174.2845,0.975811,0.899634,0.313249,13.2017,False,False
20,167.1016,155.5352,0.908683,0.910431,0.29592,12.4714,True,False
21,150.7225,147.814,0.952444,0.914878,0.288482,12.1579,True,False
22,148.2469,166.5736,0.930277,0.904075,0.306241,12.9063,False,False
23,148.0754,164.1063,0.916011,0.905495,0.303965,12.8104,False,False
24,149.7423,140.116,0.960012,0.919311,0.280869,11.8371,True,False
25,143.5384,138.6243,0.939103,0.92017,0.27937,11.7739,True,False
26,143.345,142.7982,0.91236,0.917766,0.283545,11.9498,False,False
27,140.4459,153.9556,0.926896,0.911341,0.294414,12.4079,False,False
28,138.1791,141.6404,0.986218,0.918433,0.282393,11.9013,False,False
29,134.3324,141.3222,0.986197,0.918616,0.282076,11.8879,False,False
30,135.0885,146.1711,0.971498,0.915824,0.286874,12.0901,False,False
31,136.9811,136.476,0.947963,0.921407,0.277197,11.6823,True,False
32,137.5682,131.8998,0.973351,0.924042,0.27251,11.4848,True,False
33,138.3862,149.9194,0.947351,0.913665,0.290529,12.2442,False,False
34,132.1647,166.3513,0.954334,0.904203,0.306037,12.8977,False,False
35,134.497,139.7819,0.933697,0.919503,0.280534,11.8229,False,False
36,127.2116,138.0749,0.94328,0.920486,0.278816,11.7505,False,False
37,130.5375,143.2133,0.986853,0.917527,0.283957,11.9672,False,False
38,131.6935,150.7901,0.957081,0.913164,0.291371,12.2797,False,False
39,125.3441,146.2153,0.973738,0.915798,0.286917,12.092,False,False
40,129.0425,125.2373,0.957817,0.927879,0.265539,11.1909,True,False
41,127.1014,168.656,0.89521,0.902875,0.30815,12.9868,False,False
42,134.0843,135.1166,0.957278,0.92219,0.275813,11.624,False,False
43,128.3671,156.8029,0.975448,0.909701,0.297124,12.5221,False,False
44,130.5347,135.0265,0.909936,0.922242,0.275721,11.6201,False,False
45,121.1035,151.3206,0.933958,0.912858,0.291884,12.3012,False,False
46,127.0096,147.5488,0.966674,0.91503,0.288223,12.147,False,False
47,124.2536,162.1453,0.932468,0.906625,0.302143,12.7336,False,False
48,121.7045,175.6446,0.968286,0.898851,0.314469,13.2531,False,False
49,122.1032,129.833,0.941686,0.925233,0.270367,11.3944,False,False
50,123.8318,129.7033,0.969874,0.925307,0.270232,11.3887,False,False
51,121.7426,142.8622,0.96927,0.917729,0.283609,11.9525,False,False
52,121.7279,137.9369,0.984526,0.920566,0.278677,11.7447,False,False
53,120.1227,136.0476,0.98623,0.921654,0.276762,11.6639,False,False
54,119.8551,143.8367,0.97278,0.917168,0.284574,11.9932,False,False
55,125.4342,168.4452,0.916282,0.902997,0.307957,12.9786,False,True
