epoch,tr_loss,va_loss,va_PDR,va_R2,va_CBR,va_RMSE,is_best,stopped
1,84.5364,73.5691,4e-06,-3.027071,1.984228,83.624,True,False
2,64.974,51.2347,2e-06,-0.953366,1.381938,58.2409,True,False
3,44.3541,37.3261,2e-06,-0.002805,0.990159,41.7296,True,False
4,35.6571,35.8194,2e-06,-0.224554,1.094172,46.1132,True,False
5,34.8628,35.9157,2e-06,-0.273041,1.115624,47.0173,False,False
6,34.7434,35.9292,3e-06,-0.279063,1.11826,47.1283,False,False
7,34.8211,35.9711,3e-06,-0.295954,1.12562,47.4385,False,False
8,34.791,35.9079,1e-06,-0.269583,1.114108,46.9534,False,False
9,34.6855,34.9069,0.040623,-0.200407,1.083331,45.6563,True,False
10,30.8186,23.28,0.804457,0.300859,0.82676,34.8433,True,False
11,17.2966,13.9639,0.886426,0.719855,0.523345,22.056,True,False
12,14.1799,10.9462,0.931793,0.816926,0.423068,17.8299,True,False
13,13.589,10.7377,1.002935,0.842458,0.39246,16.54,True,False
14,12.9981,10.7263,0.978923,0.839396,0.396255,16.6999,True,False
15,12.9461,14.1014,0.989774,0.762342,0.482028,20.3148,False,False
16,12.5226,11.3194,0.999718,0.838787,0.397006,16.7315,False,False
17,11.9032,9.7726,0.973203,0.859158,0.371077,15.6388,True,False
18,11.9886,11.5588,0.951338,0.834499,0.402252,16.9526,False,False
19,11.9624,12.6074,0.9676,0.808956,0.432178,18.2139,False,False
20,11.9101,9.8782,0.963235,0.87805,0.345293,14.5521,False,False
21,11.3202,10.0242,0.950015,0.871217,0.354835,14.9543,False,False
22,11.5704,10.4247,0.968365,0.864339,0.364187,15.3484,False,False
23,11.3421,9.8785,1.004859,0.879836,0.342755,14.4452,False,False
24,11.3275,8.9828,0.99784,0.87687,0.346959,14.6224,True,False
25,11.0827,9.6668,0.983845,0.871233,0.354813,14.9534,False,False
26,11.1299,10.7171,1.021807,0.846369,0.387557,16.3333,False,False
27,11.1915,10.6534,0.972481,0.823534,0.415362,17.5052,False,False
28,11.4106,9.5384,0.981332,0.852638,0.379568,15.9966,False,False
29,10.9863,9.3847,0.966145,0.880659,0.34158,14.3956,False,False
30,11.3531,10.9065,0.961953,0.804886,0.436758,18.4069,False,False
31,11.2527,9.3237,0.971329,0.887255,0.332005,13.9922,False,False
32,10.7989,8.9302,0.990308,0.885229,0.334975,14.1173,True,False
33,10.799,10.1173,0.946578,0.84748,0.386154,16.2742,False,False
34,10.776,9.5544,0.961739,0.872329,0.353299,14.8896,False,False
35,10.5314,9.8908,0.938105,0.861336,0.368196,15.5174,False,False
36,10.5114,10.1474,0.979766,0.861644,0.367787,15.5001,False,False
37,10.5762,9.3272,0.985859,0.861531,0.367936,15.5064,False,False
38,10.7211,8.9757,0.989938,0.890409,0.327329,13.7951,False,False
39,10.5733,8.7006,0.985438,0.893195,0.323141,13.6186,True,False
40,10.414,9.4614,0.955661,0.888535,0.330115,13.9125,False,False
41,10.5334,8.7474,0.950709,0.895117,0.32022,13.4955,False,False
42,10.5068,8.8771,0.974706,0.897428,0.316674,13.346,False,False
43,10.4746,9.0857,0.972355,0.886214,0.333534,14.0566,False,False
44,10.3371,9.9721,0.94625,0.864397,0.364109,15.3451,False,False
45,10.4402,8.3227,0.985434,0.899471,0.313503,13.2124,True,False
46,10.5471,8.7779,0.986683,0.89713,0.317133,13.3654,False,False
47,10.1273,8.5087,0.983528,0.902318,0.309032,13.024,False,False
48,10.1801,9.2715,0.98304,0.889741,0.328325,13.837,False,False
49,10.1256,9.0267,0.957749,0.889333,0.328931,13.8626,False,False
50,10.066,8.8795,0.9993,0.873379,0.351843,14.8282,False,False
51,10.0869,8.7748,0.963012,0.875832,0.348419,14.6839,False,False
52,10.1955,8.2314,0.994144,0.8984,0.315169,13.2826,True,False
53,10.0421,8.6563,0.96376,0.90358,0.30703,12.9396,False,False
54,9.8967,8.4635,0.964375,0.898039,0.315728,13.3062,False,False
55,10.1142,8.4232,0.990627,0.90017,0.312412,13.1664,False,False
56,9.9172,9.3425,0.989517,0.886439,0.333205,14.0427,False,False
57,9.9294,8.3439,0.989601,0.900949,0.31119,13.1149,False,False
58,9.9418,8.5759,0.957425,0.898489,0.315031,13.2768,False,False
59,9.7295,9.7332,0.98153,0.878659,0.34443,14.5158,False,False
60,9.9286,8.4934,0.974395,0.893407,0.32282,13.605,False,False
61,9.7101,7.8735,0.961118,0.907171,0.301258,12.6963,True,False
62,9.6902,8.6842,0.963667,0.902208,0.309207,13.0313,False,False
63,9.8201,8.2749,0.991713,0.8966,0.317949,13.3998,False,False
64,9.6969,8.103,0.980436,0.904521,0.305527,12.8763,False,False
65,9.5495,7.9545,0.957402,0.915818,0.286884,12.0905,False,False
66,9.4296,8.3684,0.950855,0.900331,0.312159,13.1558,False,False
67,9.4468,7.8467,0.982518,0.901397,0.310486,13.0852,True,False
68,9.3914,8.77,0.985361,0.89682,0.317611,13.3855,False,False
69,9.4263,9.3166,0.95292,0.88875,0.329797,13.8991,False,False
70,9.5516,7.9089,0.978593,0.905456,0.304028,12.8131,False,False
71,9.1351,7.8094,0.977537,0.907135,0.301316,12.6988,True,False
72,9.0766,8.3009,0.978604,0.904277,0.305917,12.8927,False,False
73,9.2416,8.3154,0.970809,0.895525,0.319597,13.4692,False,False
74,9.1835,8.5339,0.978602,0.901288,0.310658,13.0925,False,False
75,9.0894,7.332,0.973103,0.917635,0.28377,11.9593,True,False
76,9.1484,7.5492,0.978472,0.912387,0.292672,12.3345,False,False
77,9.0675,8.357,0.96995,0.902793,0.308281,12.9923,False,False
78,9.1454,9.3596,0.999271,0.890727,0.326854,13.7751,False,False
79,9.0379,8.9162,0.964573,0.881491,0.340386,14.3454,False,False
80,9.1451,8.2099,0.975123,0.911258,0.294551,12.4137,False,False
81,8.9522,7.7783,0.994231,0.897786,0.31612,13.3227,False,False
82,8.9114,7.78,0.999838,0.907502,0.300721,12.6737,False,False
83,8.8404,7.6545,0.985007,0.901863,0.309751,13.0543,False,False
84,8.9711,7.6047,0.961,0.914572,0.289,12.1797,False,False
85,9.0104,8.4623,0.975973,0.900622,0.311704,13.1366,False,False
86,8.892,7.535,0.976769,0.913169,0.291363,12.2793,False,False
87,8.7404,7.975,0.964384,0.91193,0.293434,12.3666,False,False
88,8.9877,8.3823,0.953686,0.900024,0.31264,13.176,False,False
89,8.7732,7.5152,0.991981,0.907173,0.301255,12.6962,False,False
90,9.0727,7.7116,0.959291,0.912597,0.292322,12.3197,False,True
