epoch,tr_loss,va_loss,va_PDR,va_R2,va_CBR,va_RMSE,is_best,stopped
1,9760.8432,7774.0919,4e-06,-3.030916,1.985175,83.6639,True,False
2,6214.2183,4007.9607,2e-06,-1.018377,1.404747,59.2021,True,False
3,3038.9276,2153.7088,2e-06,-0.080007,1.027567,43.3061,True,False
4,2029.9243,1923.8266,2e-06,-0.000114,0.98883,41.6736,True,False
5,1922.4466,1914.9419,2e-06,-0.002663,0.990089,41.7267,True,False
6,1917.8147,1915.2256,1e-06,-0.002764,0.990139,41.7288,False,False
7,1912.3836,1915.6034,1e-06,-0.002868,0.99019,41.7309,False,False
8,1912.9224,1916.0879,1e-06,-0.003119,0.990314,41.7362,False,False
9,1916.2263,1916.9261,1e-06,-0.00357,0.990537,41.7455,False,False
10,1910.7848,1915.1057,1e-06,-0.002615,0.990065,41.7257,False,False
11,1915.6921,1916.226,1e-06,-0.00321,0.99036,41.7381,False,False
12,1916.2088,1915.6553,1e-06,-0.002868,0.99019,41.7309,False,False
13,1917.3785,1918.251,1e-06,-0.004329,0.990911,41.7613,False,False
14,1915.6648,1917.6653,1e-06,-0.003987,0.990743,41.7542,False,False
15,1920.3946,1914.6957,1e-06,-0.00239,0.989955,41.721,True,False
16,1918.8684,1914.326,1e-06,-0.002152,0.989837,41.716,True,False
17,1914.2528,1915.7412,1e-06,-0.002944,0.990228,41.7325,False,False
18,1916.2816,1913.2604,1e-06,-0.001607,0.989568,41.7047,True,False
19,1912.2036,1913.4994,1e-06,-0.001727,0.989627,41.7072,False,False
20,1909.595,1914.2187,1e-06,-0.002107,0.989815,41.7151,False,False
21,1916.1482,1914.205,1e-06,-0.002093,0.989808,41.7148,False,False
22,1914.4173,1918.8137,1e-06,-0.004664,0.991077,41.7683,False,False
23,1915.4399,1916.9594,1e-06,-0.003629,0.990566,41.7468,False,False
24,1910.0999,1914.5853,1e-06,-0.00235,0.989935,41.7202,False,False
25,1911.1409,1914.8685,1e-06,-0.002495,0.990006,41.7232,False,False
26,1912.5347,1916.5194,1e-06,-0.003367,0.990437,41.7413,False,False
27,1916.3794,1916.4866,1e-06,-0.003354,0.99043,41.741,False,False
28,1916.7893,1915.8366,1e-06,-0.003051,0.990281,41.7347,False,False
29,1915.8599,1915.1884,1e-06,-0.002591,0.990054,41.7252,False,False
30,1909.8577,1913.9311,1e-06,-0.00192,0.989722,41.7112,False,False
31,1920.5679,1914.4191,1e-06,-0.002209,0.989865,41.7172,False,False
32,1922.6185,1916.7706,1e-06,-0.003489,0.990497,41.7439,False,False
33,1918.0351,1914.5027,1e-06,-0.002222,0.989871,41.7175,False,True
