factor,label,n_runs,mpc_rate,rmse_mean,rmse_std,pdr_mean,r2_mean,stop_ep,patience,lr,bias_init,loss
D_patience,D_patience10,10,0.9,38.60668,9.382543940839168,0.09746350000000001,-0.0232868,23.6,10,0.001,zero,MSE
D_patience,D_patience15,10,0.8,35.960089999999994,11.825241579063924,0.19942339999999997,0.0749698,38.7,15,0.001,zero,MSE
D_patience,D_patience30,10,0.2,18.380209999999998,12.21008508319159,0.7964132,0.6922982,138.3,30,0.001,zero,MSE
D_patience,D_patience5,10,1.0,41.60006,0.2328672974511919,2.4e-06,-0.1281832,9.9,5,0.001,zero,MSE
E_lr,E_lr1e2,10,0.9,38.43552,8.906005694386483,0.0962678,-0.0095778,37.8,15,0.01,zero,MSE
E_lr,E_lr1e3,10,0.8,35.960089999999994,11.825241579063924,0.19942339999999997,0.0749698,38.7,15,0.001,zero,MSE
E_lr,E_lr1e4,10,1.0,41.30045,0.04385481729525136,2.2e-06,-0.1119615,52.1,15,0.0001,zero,MSE
F_bias_init,F_bias_random_calibrated,10,0.0,12.69048,0.7408707861548991,1.0108993,0.8946908,67.3,15,0.001,random_calibrated,MSE
F_bias_init,F_bias_train_mean,10,0.0,12.941460000000001,0.4754427508473899,1.0093375999999998,0.8906865999999999,65.4,15,0.001,train_mean,MSE
F_bias_init,F_bias_zero,10,0.8,35.960089999999994,11.825241579063924,0.19942339999999997,0.0749698,38.7,15,0.001,zero,MSE
G_loss,G_loss_MAE,10,0.0,13.42925,0.6017112804327345,1.0446737,0.8822211,80.7,15,0.001,zero,MAE
G_loss,G_loss_MSE,10,0.8,35.960089999999994,11.825241579063924,0.19942339999999997,0.0749698,38.7,15,0.001,zero,MSE
G_loss,G_loss_auxiliary,10,0.4,24.24483,15.114470833832648,0.6048549,0.4827745,77.9,15,0.001,zero,auxiliary
