label,stage,factor,patience,lr,bias_init,loss,seed,stop_epoch,RMSE,NASA,test_PDR,test_R2,test_CBR,val_PDR,val_R2,elapsed_s,is_collapsed
D_patience5,1,D_patience,5,0.001,zero,MSE,0,8,41.2355,30426.04,3e-06,-0.108463,0.943603,3e-06,-2.4e-05,3.2,True
D_patience5,1,D_patience,5,0.001,zero,MSE,1,9,41.6058,34014.27,1e-06,-0.128461,0.952077,1e-06,-0.000524,2.0,True
D_patience5,1,D_patience,5,0.001,zero,MSE,2,21,41.8381,36343.61,2e-06,-0.141098,0.957393,1e-06,-0.001525,4.7,True
D_patience5,1,D_patience,5,0.001,zero,MSE,3,9,41.9056,37032.53,2e-06,-0.144784,0.958938,2e-06,-0.001903,2.0,True
D_patience5,1,D_patience,5,0.001,zero,MSE,4,8,41.571,33670.89,4e-06,-0.126575,0.951281,3e-06,-0.000419,1.8,True
D_patience5,1,D_patience,5,0.001,zero,MSE,5,9,41.4861,32838.7,1e-06,-0.121979,0.949338,1e-06,-0.000205,2.0,True
D_patience5,1,D_patience,5,0.001,zero,MSE,6,9,41.4531,32517.57,2e-06,-0.120196,0.948584,2e-06,-0.000143,2.1,True
D_patience5,1,D_patience,5,0.001,zero,MSE,7,9,41.758,35533.7,2e-06,-0.136736,0.955561,2e-06,-0.001126,2.0,True
D_patience5,1,D_patience,5,0.001,zero,MSE,8,9,41.8414,36377.67,3e-06,-0.141282,0.95747,2e-06,-0.001544,2.0,True
D_patience5,1,D_patience,5,0.001,zero,MSE,9,8,41.306,31098.32,4e-06,-0.112258,0.945217,3e-06,-6e-06,1.7,True
D_patience10,1,D_patience,10,0.001,zero,MSE,0,13,41.2355,30426.04,3e-06,-0.108463,0.943603,3e-06,-2.4e-05,2.8,True
D_patience10,1,D_patience,10,0.001,zero,MSE,1,14,41.6058,34014.27,1e-06,-0.128461,0.952077,1e-06,-0.000524,3.1,True
D_patience10,1,D_patience,10,0.001,zero,MSE,2,106,11.9106,301.59,0.974614,0.907521,0.272553,0.92635,0.923853,23.1,False
D_patience10,1,D_patience,10,0.001,zero,MSE,3,14,41.9056,37032.53,2e-06,-0.144784,0.958938,2e-06,-0.001903,3.1,True
D_patience10,1,D_patience,10,0.001,zero,MSE,4,13,41.571,33670.89,4e-06,-0.126575,0.951281,3e-06,-0.000419,2.7,True
D_patience10,1,D_patience,10,0.001,zero,MSE,5,14,41.4861,32838.7,1e-06,-0.121979,0.949338,1e-06,-0.000205,3.0,True
D_patience10,1,D_patience,10,0.001,zero,MSE,6,14,41.4531,32517.57,2e-06,-0.120196,0.948584,2e-06,-0.000143,3.0,True
D_patience10,1,D_patience,10,0.001,zero,MSE,7,14,41.758,35533.7,2e-06,-0.136736,0.955561,2e-06,-0.001126,3.0,True
D_patience10,1,D_patience,10,0.001,zero,MSE,8,21,41.8351,36313.56,2e-06,-0.140937,0.957325,2e-06,-0.00151,4.7,True
D_patience10,1,D_patience,10,0.001,zero,MSE,9,13,41.306,31098.32,4e-06,-0.112258,0.945217,3e-06,-6e-06,2.9,True
D_patience15,1,D_patience,15,0.001,zero,MSE,0,18,41.2355,30426.04,3e-06,-0.108463,0.943603,3e-06,-2.4e-05,3.8,True
D_patience15,1,D_patience,15,0.001,zero,MSE,1,19,41.6058,34014.27,1e-06,-0.128461,0.952077,1e-06,-0.000524,4.0,True
D_patience15,1,D_patience,15,0.001,zero,MSE,2,127,11.8474,321.92,1.004694,0.908499,0.271108,0.953884,0.927759,27.4,False
D_patience15,1,D_patience,15,0.001,zero,MSE,3,35,41.6898,34849.92,1e-06,-0.133026,0.954,1e-06,-0.000829,7.7,True
