run_id,phase,label,seed,stop_epoch,pdr_onset,r2_onset,pdr_onset_frac,r2_onset_frac
1A_A1_fixed_B2_from0_C1_unclipped_s0,1A,A1_fixed_B2_from0_C1_unclipped,0,18,1.0,1.0,0.05555555555555555,0.05555555555555555
1A_A1_fixed_B2_from0_C1_unclipped_s1,1A,A1_fixed_B2_from0_C1_unclipped,1,19,1.0,1.0,0.05263157894736842,0.05263157894736842
1A_A1_fixed_B2_from0_C1_unclipped_s2,1A,A1_fixed_B2_from0_C1_unclipped,2,19,1.0,1.0,0.05263157894736842,0.05263157894736842
1A_A1_fixed_B2_from0_C1_unclipped_s3,1A,A1_fixed_B2_from0_C1_unclipped,3,19,1.0,1.0,0.05263157894736842,0.05263157894736842
1A_A1_fixed_B2_from0_C1_unclipped_s4,1A,A1_fixed_B2_from0_C1_unclipped,4,18,1.0,1.0,0.05555555555555555,0.05555555555555555
1A_A1_fixed_B2_from0_C1_unclipped_s6,1A,A1_fixed_B2_from0_C1_unclipped,6,19,1.0,1.0,0.05263157894736842,0.05263157894736842
1A_A1_fixed_B2_from0_C1_unclipped_s7,1A,A1_fixed_B2_from0_C1_unclipped,7,19,1.0,1.0,0.05263157894736842,0.05263157894736842
1A_A1_fixed_B2_from0_C1_unclipped_s8,1A,A1_fixed_B2_from0_C1_unclipped,8,19,1.0,1.0,0.05263157894736842,0.05263157894736842
1A_A1_fixed_B2_from0_C1_unclipped_s9,1A,A1_fixed_B2_from0_C1_unclipped,9,18,1.0,1.0,0.05555555555555555,0.05555555555555555
1A_A1_fixed_B2_from0_C2_clip125_s0,1A,A1_fixed_B2_from0_C2_clip125,0,18,1.0,1.0,0.05555555555555555,0.05555555555555555
1A_A1_fixed_B2_from0_C2_clip125_s1,1A,A1_fixed_B2_from0_C2_clip125,1,19,1.0,1.0,0.05263157894736842,0.05263157894736842
1A_A1_fixed_B2_from0_C2_clip125_s3,1A,A1_fixed_B2_from0_C2_clip125,3,35,1.0,1.0,0.02857142857142857,0.02857142857142857
1A_A1_fixed_B2_from0_C2_clip125_s4,1A,A1_fixed_B2_from0_C2_clip125,4,18,1.0,1.0,0.05555555555555555,0.05555555555555555
1A_A1_fixed_B2_from0_C2_clip125_s6,1A,A1_fixed_B2_from0_C2_clip125,6,19,1.0,1.0,0.05263157894736842,0.05263157894736842
1A_A1_fixed_B2_from0_C2_clip125_s7,1A,A1_fixed_B2_from0_C2_clip125,7,32,1.0,1.0,0.03125,0.03125
1A_A1_fixed_B2_from0_C2_clip125_s8,1A,A1_fixed_B2_from0_C2_clip125,8,26,1.0,1.0,0.038461538461538464,0.038461538461538464
1A_A1_fixed_B2_from0_C2_clip125_s9,1A,A1_fixed_B2_from0_C2_clip125,9,18,1.0,1.0,0.05555555555555555,0.05555555555555555
1A_A1_fixed_B2_from0_C3_clip100_s0,1A,A1_fixed_B2_from0_C3_clip100,0,24,1.0,1.0,0.041666666666666664,0.041666666666666664
1A_A1_fixed_B2_from0_C3_clip100_s3,1A,A1_fixed_B2_from0_C3_clip100,3,18,1.0,1.0,0.05555555555555555,0.05555555555555555
1A_A1_fixed_B2_from0_C3_clip100_s6,1A,A1_fixed_B2_from0_C3_clip100,6,38,1.0,1.0,0.02631578947368421,0.02631578947368421
1A_A1_fixed_B2_from0_C3_clip100_s7,1A,A1_fixed_B2_from0_C3_clip100,7,32,1.0,1.0,0.03125,0.03125
1A_A1_fixed_B2_from0_C3_clip100_s8,1A,A1_fixed_B2_from0_C3_clip100,8,26,1.0,1.0,0.038461538461538464,0.038461538461538464
1A_A2_per_seed_B2_from0_C1_unclipped_s2,1A,A2_per_seed_B2_from0_C1_unclipped,2,19,1.0,1.0,0.05263157894736842,0.05263157894736842
1A_A2_per_seed_B2_from0_C1_unclipped_s6,1A,A2_per_seed_B2_from0_C1_unclipped,6,40,1.0,1.0,0.025,0.025
1A_A2_per_seed_B2_from0_C1_unclipped_s7,1A,A2_per_seed_B2_from0_C1_unclipped,7,19,1.0,1.0,0.05263157894736842,0.05263157894736842
1A_A2_per_seed_B2_from0_C1_unclipped_s8,1A,A2_per_seed_B2_from0_C1_unclipped,8,27,1.0,1.0,0.037037037037037035,0.037037037037037035
1A_A2_per_seed_B2_from0_C2_clip125_s2,1A,A2_per_seed_B2_from0_C2_clip125,2,19,1.0,1.0,0.05263157894736842,0.05263157894736842
1A_A2_per_seed_B2_from0_C2_clip125_s7,1A,A2_per_seed_B2_from0_C2_clip125,7,31,1.0,1.0,0.03225806451612903,0.03225806451612903
1A_A2_per_seed_B2_from0_C2_clip125_s8,1A,A2_per_seed_B2_from0_C2_clip125,8,19,1.0,1.0,0.05263157894736842,0.05263157894736842
1A_A3_stratified_B2_from0_C1_unclipped_s1,1A,A3_stratified_B2_from0_C1_unclipped,1,20,1.0,1.0,0.05,0.05
1A_A3_stratified_B2_from0_C1_unclipped_s2,1A,A3_stratified_B2_from0_C1_unclipped,2,19,1.0,1.0,0.05263157894736842,0.05263157894736842
1A_A3_stratified_B2_from0_C1_unclipped_s6,1A,A3_stratified_B2_from0_C1_unclipped,6,19,1.0,1.0,0.05263157894736842,0.05263157894736842
1A_A3_stratified_B2_from0_C1_unclipped_s8,1A,A3_stratified_B2_from0_C1_unclipped,8,22,1.0,1.0,0.045454545454545456,0.045454545454545456
1A_A3_stratified_B2_from0_C1_unclipped_s9,1A,A3_stratified_B2_from0_C1_unclipped,9,26,1.0,1.0,0.038461538461538464,0.038461538461538464
1A_A3_stratified_B2_from0_C2_clip125_s2,1A,A3_stratified_B2_from0_C2_clip125,2,19,1.0,1.0,0.05263157894736842,0.05263157894736842
1A_A3_stratified_B2_from0_C2_clip125_s3,1A,A3_stratified_B2_from0_C2_clip125,3,33,1.0,1.0,0.030303030303030304,0.030303030303030304
1A_A3_stratified_B2_from0_C2_clip125_s8,1A,A3_stratified_B2_from0_C2_clip125,8,31,1.0,1.0,0.03225806451612903,0.03225806451612903
1A_A3_stratified_B2_from0_C3_clip100_s3,1A,A3_stratified_B2_from0_C3_clip100,3,36,1.0,1.0,0.027777777777777776,0.027777777777777776
1A_A3_stratified_B2_from0_C3_clip100_s6,1A,A3_stratified_B2_from0_C3_clip100,6,19,1.0,1.0,0.05263157894736842,0.05263157894736842
1A_A3_stratified_B2_from0_C3_clip100_s8,1A,A3_stratified_B2_from0_C3_clip100,8,22,1.0,1.0,0.045454545454545456,0.045454545454545456
1B_D_patience10_s0,1B,D_patience10,0,13,1.0,1.0,0.07692307692307693,0.07692307692307693
1B_D_patience10_s1,1B,D_patience10,1,14,1.0,1.0,0.07142857142857142,0.07142857142857142
1B_D_patience10_s3,1B,D_patience10,3,14,1.0,1.0,0.07142857142857142,0.07142857142857142
1B_D_patience10_s4,1B,D_patience10,4,13,1.0,1.0,0.07692307692307693,0.07692307692307693
1B_D_patience10_s5,1B,D_patience10,5,14,1.0,1.0,0.07142857142857142,0.07142857142857142
1B_D_patience10_s6,1B,D_patience10,6,14,1.0,1.0,0.07142857142857142,0.07142857142857142
1B_D_patience10_s7,1B,D_patience10,7,14,1.0,1.0,0.07142857142857142,0.07142857142857142
1B_D_patience10_s8,1B,D_patience10,8,21,1.0,1.0,0.047619047619047616,0.047619047619047616
1B_D_patience10_s9,1B,D_patience10,9,13,1.0,1.0,0.07692307692307693,0.07692307692307693
1B_D_patience15_s0,1B,D_patience15,0,18,1.0,1.0,0.05555555555555555,0.05555555555555555
1B_D_patience15_s1,1B,D_patience15,1,19,1.0,1.0,0.05263157894736842,0.05263157894736842
1B_D_patience15_s3,1B,D_patience15,3,35,1.0,1.0,0.02857142857142857,0.02857142857142857
1B_D_patience15_s4,1B,D_patience15,4,18,1.0,1.0,0.05555555555555555,0.05555555555555555
1B_D_patience15_s6,1B,D_patience15,6,19,1.0,1.0,0.05263157894736842,0.05263157894736842
1B_D_patience15_s7,1B,D_patience15,7,32,1.0,1.0,0.03125,0.03125
1B_D_patience15_s8,1B,D_patience15,8,26,1.0,1.0,0.038461538461538464,0.038461538461538464
1B_D_patience15_s9,1B,D_patience15,9,18,1.0,1.0,0.05555555555555555,0.05555555555555555
1B_D_patience30_s1,1B,D_patience30,1,34,1.0,1.0,0.029411764705882353,0.029411764705882353
1B_D_patience30_s6,1B,D_patience30,6,34,1.0,1.0,0.029411764705882353,0.029411764705882353
1B_D_patience5_s0,1B,D_patience5,0,8,1.0,1.0,0.125,0.125
1B_D_patience5_s1,1B,D_patience5,1,9,1.0,1.0,0.1111111111111111,0.1111111111111111
1B_D_patience5_s2,1B,D_patience5,2,21,1.0,1.0,0.047619047619047616,0.047619047619047616
1B_D_patience5_s3,1B,D_patience5,3,9,1.0,1.0,0.1111111111111111,0.1111111111111111
1B_D_patience5_s4,1B,D_patience5,4,8,1.0,1.0,0.125,0.125
1B_D_patience5_s5,1B,D_patience5,5,9,1.0,1.0,0.1111111111111111,0.1111111111111111
1B_D_patience5_s6,1B,D_patience5,6,9,1.0,1.0,0.1111111111111111,0.1111111111111111
1B_D_patience5_s7,1B,D_patience5,7,9,1.0,1.0,0.1111111111111111,0.1111111111111111
1B_D_patience5_s8,1B,D_patience5,8,9,1.0,1.0,0.1111111111111111,0.1111111111111111
1B_D_patience5_s9,1B,D_patience5,9,8,1.0,1.0,0.125,0.125
1B_E_lr1e2_s0,1B,E_lr1e2,0,41,1.0,1.0,0.024390243902439025,0.024390243902439025
1B_E_lr1e2_s1,1B,E_lr1e2,1,17,1.0,1.0,0.058823529411764705,0.058823529411764705
1B_E_lr1e2_s2,1B,E_lr1e2,2,19,1.0,1.0,0.05263157894736842,0.05263157894736842
1B_E_lr1e2_s3,1B,E_lr1e2,3,29,1.0,1.0,0.034482758620689655,0.034482758620689655
1B_E_lr1e2_s4,1B,E_lr1e2,4,23,1.0,1.0,0.043478260869565216,0.043478260869565216
1B_E_lr1e2_s6,1B,E_lr1e2,6,28,1.0,1.0,0.03571428571428571,0.03571428571428571
1B_E_lr1e2_s7,1B,E_lr1e2,7,34,1.0,1.0,0.029411764705882353,0.029411764705882353
