epoch,pdr_mean,pdr_std,r2_mean,r2_std,vloss_mean,vloss_std,n_runs,group
1,3.527586206896551e-05,0.00011068957729076644,-2.5830571551724133,1.0738271173316671,8270.441750862068,4837.232207576655,116,collapsed
2,1.886206896551724e-05,5.4664477615365176e-05,-0.9443790862068965,1.0133417697702043,4799.1591577586205,3805.114638240354,116,collapsed
3,6.741379310344829e-06,1.62460184457264e-05,-0.3684403534482759,1.0765572093544409,3371.241499137931,2987.8523312306766,116,collapsed
4,4.45689655172414e-06,9.089964380434849e-06,-0.3189125344827587,1.0287454817684871,3205.496103448275,2753.004460540481,116,collapsed
5,3.4913793103448274e-06,5.957457930531671e-06,-0.30300384482758613,0.9722176147011711,3179.770272413793,2698.982745826069,116,collapsed
6,2.9482758620689655e-06,4.304858577488462e-06,-0.28558414655172415,0.9152142655396025,3150.5240000000003,2650.3248571838335,116,collapsed
7,2.6379310344827587e-06,3.3150559149706186e-06,-0.2680243017241379,0.8571360947615452,3120.5376077586207,2602.9924386049684,116,collapsed
8,2.353448275862069e-06,2.6367898139947907e-06,-0.24954952586206894,0.7983640899929902,3087.785386206897,2555.829395917267,116,collapsed
9,2.181034482758621e-06,2.1719177047145042e-06,-0.23083135344827588,0.7390344573359315,3055.306055172414,2513.446777300583,116,collapsed
10,2.0258620689655168e-06,1.8404516260612723e-06,-0.21201635344827582,0.6795104063645466,3022.705088793103,2474.6552451022108,116,collapsed
11,1.8965517241379308e-06,1.662877182231653e-06,-0.19349004310344825,0.6200313828665059,2990.3568931034474,2438.60873944676,116,collapsed
12,1.7672413793103449e-06,1.4224660387479208e-06,-0.1751825775862069,0.5618192504466789,2958.5586267241374,2407.7559515804155,116,collapsed
13,1.6379310344827585e-06,1.3090965015674632e-06,-0.15728719827586204,0.5056267115208272,2927.5386362068966,2382.283431059754,116,collapsed
14,1.5689655172413793e-06,1.1978726684608102e-06,-0.14056827586206894,0.4516723547932648,2898.5458905172413,2360.875728364216,116,collapsed
15,1.4827586206896553e-06,1.110162760827948e-06,-0.12399330172413793,0.4007897487926336,2869.3351474137935,2342.7749068577855,116,collapsed
16,1.4568965517241378e-06,1.1699708320805027e-06,-0.1101665,0.35230962259384213,2846.3496344827586,2332.086432625728,116,collapsed
17,1.3448275862068966e-06,1.0179716840776215e-06,-0.09506188793103447,0.30765897162108624,2819.699955172414,2321.720581492051,116,collapsed
18,1.232758620689655e-06,9.857410884507993e-07,-0.08266200862068965,0.2661809048336817,2798.8649655172417,2317.1760502397933,116,collapsed
19,1.206896551724138e-06,9.605785018747667e-07,-0.0707362155172414,0.22857747554961444,2777.486742241379,2311.0964525235786,116,collapsed
20,1.163793103448276e-06,9.186193305364286e-07,-0.05994270689655172,0.19452228992780984,2758.6040620689655,2308.7583893613682,116,collapsed
21,1.163793103448276e-06,8.996547759082406e-07,-0.05057818965517241,0.1639308099523064,2742.325711206897,2307.8884497545514,116,collapsed
22,1.129310344827586e-06,8.860039348962312e-07,-0.04233943103448277,0.1364969524740782,2728.0963353448274,2308.5698254632657,116,collapsed
23,1.1120689655172414e-06,8.486454899765571e-07,-0.03556375,0.11232655258256637,2716.560418965518,2310.118346711723,116,collapsed
24,1.1206896551724137e-06,8.423609310555937e-07,-0.029266629310344825,0.09141528950001312,2705.2350551724135,2310.369314228288,116,collapsed
25,1.129310344827586e-06,8.461899641393923e-07,-0.024109431034482758,0.07323507866326225,2696.3900827586203,2312.2854476015673,116,collapsed
26,1.1206896551724137e-06,8.72522822681379e-07,-0.01932181034482758,0.05790823242958813,2688.0600715517244,2314.1986785081126,116,collapsed
27,1.1379310344827585e-06,8.599975112648225e-07,-0.016239594827586204,0.04496419684784821,2682.867989655172,2316.1905521214976,116,collapsed
28,1.0775862068965518e-06,9.016351245047994e-07,-0.01312030172413793,0.03453030436697893,2677.299099137931,2317.1707825354124,116,collapsed
29,1.1293103448275863e-06,8.860039348962313e-07,-0.011063706896551725,0.02612682850127011,2673.992620689655,2319.3175580266056,116,collapsed
30,1.2327586206896552e-06,1.1623234654293754e-06,-0.00909371551724138,0.019726150920404792,2670.4968525862064,2320.195204461814,116,collapsed
31,1.422413793103448e-06,1.7575004883943281e-06,-0.00782306896551724,0.015018557361457248,2668.153953448276,2320.371993730823,116,collapsed
32,1.7068965517241378e-06,2.864820032198299e-06,-0.007040715517241377,0.011772568690938384,2666.993811206896,2321.6259595771094,116,collapsed
33,1.7413793103448274e-06,2.847021097917213e-06,-0.006491974137931033,0.00987386464050355,2666.0612465517243,2322.118014885418,116,collapsed
34,1.836206896551724e-06,2.8645995252307842e-06,-0.00602933620689655,0.009017180438917667,2665.0943068965516,2321.759302234626,116,collapsed
35,1.9482758620689654e-06,2.9444419516537828e-06,-0.00540758620689655,0.008530510818747918,2664.30785,2323.3960219263345,116,collapsed
36,2e-06,3.020047955773619e-06,-0.005159629310344825,0.00836660499116018,2663.514436206897,2322.0699685678046,116,collapsed
37,2.025862068965517e-06,3.0497631533153293e-06,-0.005256094827586205,0.00886867950748729,2663.6728000000003,2321.935867145176,116,collapsed
38,2.0775862068965517e-06,3.149030672064477e-06,-0.005102784482758619,0.008726096795805055,2663.3553353448274,2321.8426364114525,116,collapsed
39,2.086206896551724e-06,3.1474372868152905e-06,-0.004779913793103447,0.008406173012537054,2662.7401051724137,2321.8423652726915,116,collapsed
40,2.0948275862068964e-06,3.1430779123936674e-06,-0.004798189655172412,0.008423801831217133,2662.969697413793,2322.6225302756525,116,collapsed
41,2.086206896551724e-06,3.1474372868152905e-06,-0.00491278448275862,0.008435555234680491,2663.1687172413795,2322.5439836734417,116,collapsed
42,2.086206896551724e-06,3.1474372868152905e-06,-0.004960568965517239,0.008416790712641974,2663.2516931034484,2322.5109761581684,116,collapsed
43,2.0948275862068964e-06,3.1430779123936674e-06,-0.004972120689655171,0.008409216289650521,2663.271744827586,2322.502966517869,116,collapsed
44,2.0775862068965517e-06,3.149030672064477e-06,-0.004993465517241378,0.00839960325564602,2663.308787931034,2322.488217487261,116,collapsed
45,2.0775862068965517e-06,3.149030672064477e-06,-0.00507133620689655,0.008400761723410364,2663.4440362068963,2322.4347618537977,116,collapsed
46,2.0775862068965517e-06,3.149030672064477e-06,-0.005005275862068964,0.008395103314747202,2663.3293181034483,2322.480052187014,116,collapsed
47,2.0775862068965517e-06,3.149030672064477e-06,-0.00501705172413793,0.008390321583419,2663.3497810344825,2322.4719104152127,116,collapsed
48,2.0775862068965517e-06,3.149030672064477e-06,-0.005035206896551723,0.008382936720543827,2663.381289655172,2322.459373652444,116,collapsed
49,2.0775862068965517e-06,3.149030672064477e-06,-0.005066637931034482,0.008372876940780736,2663.4358439655175,2322.4376970021435,116,collapsed
50,2.0775862068965517e-06,3.149030672064477e-06,-0.005152870689655171,0.00840149824644408,2663.585625862069,2322.378793451241,116,collapsed
