run_id,stop_epoch,va_loss_at_stop,pdr_at_stop,r2_at_stop
1A_A1_fixed_B2_from0_C1_unclipped_s0,18,7753.9965,0.0,-0.01416
1A_A1_fixed_B2_from0_C1_unclipped_s1,19,7734.7422,0.0,-0.011642
1A_A1_fixed_B2_from0_C1_unclipped_s2,19,7735.3274,0.0,-0.011719
1A_A1_fixed_B2_from0_C1_unclipped_s3,19,7739.3716,0.0,-0.012247
1A_A1_fixed_B2_from0_C1_unclipped_s4,18,7772.3625,1e-06,-0.016562
1A_A1_fixed_B2_from0_C1_unclipped_s6,19,7729.5767,0.0,-0.010966
1A_A1_fixed_B2_from0_C1_unclipped_s7,19,7758.719,0.0,-0.014778
1A_A1_fixed_B2_from0_C1_unclipped_s8,19,7727.4058,0.0,-0.010682
1A_A1_fixed_B2_from0_C1_unclipped_s9,18,7741.0299,0.0,-0.012464
1A_A1_fixed_B2_from0_C2_clip125_s0,18,1741.7272,1e-06,-0.003016
1A_A1_fixed_B2_from0_C2_clip125_s1,19,1740.4996,1e-06,-0.002309
1A_A1_fixed_B2_from0_C2_clip125_s3,35,1742.126,5e-06,-0.003245
1A_A1_fixed_B2_from0_C2_clip125_s4,18,1747.1137,2e-06,-0.006117
1A_A1_fixed_B2_from0_C2_clip125_s6,19,1740.6319,1e-06,-0.002385
1A_A1_fixed_B2_from0_C2_clip125_s7,32,1742.5906,1.1e-05,-0.003513
1A_A1_fixed_B2_from0_C2_clip125_s8,26,1740.4202,1e-06,-0.002263
1A_A1_fixed_B2_from0_C2_clip125_s9,18,1740.1297,2e-06,-0.002096
1A_A1_fixed_B2_from0_C3_clip100_s0,24,1044.1071,1e-06,-0.003317
1A_A1_fixed_B2_from0_C3_clip100_s3,18,1045.9219,1e-06,-0.00506
1A_A1_fixed_B2_from0_C3_clip100_s6,38,1041.9301,1.2e-05,-0.001225
1A_A1_fixed_B2_from0_C3_clip100_s7,32,1042.7172,2.1e-05,-0.001981
1A_A1_fixed_B2_from0_C3_clip100_s8,26,1042.288,1e-06,-0.001568
1A_A2_per_seed_B2_from0_C1_unclipped_s2,19,7492.7744,0.0,-0.03282
1A_A2_per_seed_B2_from0_C1_unclipped_s6,40,10224.3152,2e-06,-0.011131
1A_A2_per_seed_B2_from0_C1_unclipped_s7,19,6143.7697,0.0,-0.080401
1A_A2_per_seed_B2_from0_C1_unclipped_s8,27,10864.3946,0.0,-0.005086
1A_A2_per_seed_B2_from0_C2_clip125_s2,19,1756.4043,1e-06,-0.007047
1A_A2_per_seed_B2_from0_C2_clip125_s7,31,1765.7094,5e-06,-0.010278
1A_A2_per_seed_B2_from0_C2_clip125_s8,19,1725.6874,2e-06,-0.000345
1A_A3_stratified_B2_from0_C1_unclipped_s1,20,7404.9878,0.0,-0.002576
