epoch,tr_loss,va_loss,va_PDR,va_R2,va_CBR,va_RMSE,stopped
1,6027.6854,2579.3354,1e-06,-0.488506,1.195678,50.7872,False
2,1947.1874,1738.3952,1e-06,-0.003209,0.9816,41.6941,False
3,1773.5829,1739.5748,1e-06,-0.003889,0.981933,41.7082,False
4,1768.7488,1737.2574,1e-06,-0.002552,0.981278,41.6804,False
5,1770.2259,1737.1289,1e-06,-0.002478,0.981242,41.6789,False
6,1778.6138,1737.9794,1e-06,-0.002969,0.981482,41.6891,False
7,1773.8075,1736.8625,1e-06,-0.002324,0.981167,41.6757,False
8,1775.1325,1735.7821,1e-06,-0.001701,0.980862,41.6627,False
9,1774.208,1742.1729,1e-06,-0.005389,0.982666,41.7393,False
10,1768.7366,1739.0882,1e-06,-0.003609,0.981795,41.7024,False
11,1775.3538,1738.8073,1e-06,-0.003447,0.981716,41.699,False
12,1776.2595,1737.1649,8e-06,-0.002499,0.981252,41.6793,False
13,1776.8823,1739.6363,4.5e-05,-0.003925,0.98195,41.7089,False
14,1371.4578,409.119,0.840515,0.763902,0.476195,20.2267,False
15,446.2257,337.8788,0.852108,0.805014,0.432754,18.3815,False
16,357.9452,330.4838,0.94364,0.809281,0.427992,18.1792,False
17,318.452,389.8063,0.881582,0.775047,0.46482,19.7435,False
18,306.7658,314.4468,0.921779,0.818536,0.417478,17.7326,False
19,300.6967,237.1887,0.92431,0.863121,0.362583,15.4009,False
20,292.5534,229.3341,0.9394,0.867654,0.356529,15.1438,False
21,287.2128,231.9061,0.92175,0.86617,0.358522,15.2285,False
22,284.6132,231.2499,0.932639,0.866548,0.358015,15.2069,False
23,283.9403,249.6117,0.894116,0.855952,0.371957,15.7991,False
24,278.624,250.3333,0.918749,0.855535,0.372494,15.8219,False
25,276.5239,263.9569,0.936744,0.847673,0.382496,16.2468,False
26,276.8977,226.4327,0.945222,0.869328,0.354266,15.0477,False
27,273.0589,262.7518,0.94718,0.848369,0.381622,16.2096,False
28,269.5483,238.8689,0.952927,0.862151,0.363865,15.4554,False
29,274.1736,235.6257,0.936605,0.864023,0.361386,15.3501,False
30,268.6655,266.2735,0.928081,0.846336,0.384171,16.3179,False
31,268.4308,284.5516,0.970031,0.835788,0.397137,16.8687,False
32,267.3689,232.657,0.914731,0.865736,0.359102,15.2531,False
33,263.3618,246.3263,0.94338,0.857848,0.369501,15.6948,False
34,263.709,266.9261,0.937872,0.84596,0.384641,16.3379,False
35,263.8773,236.4112,0.911303,0.86357,0.361988,15.3757,False
36,261.8986,229.1868,0.891218,0.867739,0.356414,15.1389,False
37,260.0719,236.3511,0.931792,0.863604,0.361942,15.3737,False
38,258.6049,229.9985,0.932525,0.86727,0.357045,15.1657,False
39,259.5328,251.0589,0.924872,0.855117,0.373034,15.8448,False
40,253.5998,241.0493,0.938074,0.860893,0.365522,15.5258,False
41,256.2182,233.914,0.920852,0.865011,0.360071,15.2942,True
