epoch,tr_loss,va_loss,va_PDR,va_R2,va_CBR,va_RMSE,stopped
1,8642.2661,6740.6185,2e-06,-2.881747,1.948097,82.1013,False
2,5193.9698,3129.7661,1e-06,-0.802351,1.327445,55.9443,False
3,2345.0552,1766.8796,1e-06,-0.0175,0.997388,42.0343,False
4,1754.9668,1742.1464,1e-06,-0.003257,0.990383,41.739,False
5,1744.4626,1740.8947,1e-06,-0.002536,0.990027,41.724,False
6,1744.5713,1740.9606,1e-06,-0.002574,0.990045,41.7248,False
7,1744.4719,1739.9969,1e-06,-0.002019,0.989771,41.7133,False
8,1735.4863,1744.5402,7e-06,-0.004636,0.991063,41.7677,False
9,1660.129,1372.412,0.210867,0.209663,0.879028,37.0461,False
10,762.8945,394.7414,0.878274,0.772679,0.47143,19.8681,False
11,408.6058,362.3053,0.927415,0.791358,0.451646,19.0343,False
12,320.4576,260.37,0.95675,0.85006,0.382874,16.136,False
13,294.6125,228.8316,0.90123,0.868222,0.358937,15.1272,False
14,274.7219,221.048,0.926472,0.872704,0.35278,14.8677,False
15,251.9929,209.5706,0.932936,0.879314,0.343499,14.4766,False
16,241.007,201.416,0.965458,0.88401,0.33675,14.1921,False
17,237.9954,230.057,0.922616,0.867516,0.359897,15.1676,False
18,232.7914,201.3317,0.928927,0.884058,0.33668,14.1891,False
19,227.1409,186.9061,0.932983,0.892366,0.324394,13.6714,False
20,224.754,193.9383,0.951778,0.888316,0.33044,13.9262,False
21,216.9648,179.0889,0.948091,0.896867,0.317537,13.3824,False
22,221.4494,183.3603,0.96811,0.894408,0.321302,13.5411,False
23,213.029,198.2507,0.966987,0.885833,0.334093,14.0802,False
24,208.4446,189.3839,0.968106,0.890939,0.326537,13.7617,False
25,215.1852,194.5245,0.929597,0.887978,0.330939,13.9472,False
26,209.4031,197.4745,0.983339,0.88628,0.333439,14.0526,False
27,216.3174,194.8345,0.919397,0.8878,0.331202,13.9583,False
28,209.5325,176.8266,0.964993,0.89817,0.315526,13.2976,False
