epoch,tr_loss,va_loss,va_PDR,va_R2,va_CBR,va_RMSE,stopped
1,3285.6329,759.1587,0.532796,0.561998,0.656561,27.5528,False
2,558.1005,517.1445,0.820171,0.70163,0.541895,22.7408,False
3,509.408,557.6319,0.832734,0.67827,0.562707,23.6142,False
4,476.7358,475.6708,0.847768,0.725558,0.519711,21.8099,False
5,453.3264,425.3158,0.85968,0.754611,0.491433,20.6232,False
6,422.6517,409.5896,0.853991,0.763685,0.482262,20.2383,False
7,405.8917,384.5324,0.843869,0.778141,0.467278,19.6095,False
8,387.7412,374.3197,0.868903,0.784034,0.461031,19.3473,False
9,384.2231,369.6576,0.866321,0.786724,0.458151,19.2265,False
10,375.335,407.6275,0.90016,0.764817,0.481106,20.1898,False
11,366.2878,355.5979,0.856734,0.794835,0.449354,18.8573,False
12,354.0854,370.7253,0.871038,0.786108,0.458812,19.2542,False
13,340.6758,403.1316,0.842986,0.76741,0.478445,20.0781,False
14,331.3643,466.2133,0.833714,0.731015,0.514519,21.592,False
15,322.986,469.4941,0.825098,0.729122,0.516326,21.6678,False
16,313.6367,422.4019,0.819502,0.756292,0.489747,20.5524,False
17,306.8612,477.2296,0.803057,0.724659,0.520562,21.8456,False
18,299.0366,449.1154,0.788077,0.74088,0.504996,21.1923,False
19,295.1354,456.2645,0.790313,0.736755,0.508999,21.3603,False
20,288.4835,500.9332,0.798994,0.710983,0.533333,22.3815,False
21,283.6536,447.5809,0.767357,0.741765,0.504132,21.1561,False
22,273.3475,479.4478,0.776209,0.723379,0.52177,21.8963,False
23,268.3142,457.1351,0.785138,0.736253,0.509485,21.3807,False
24,263.5759,525.3371,0.773808,0.696903,0.54617,22.9202,False
25,261.9649,571.9979,0.767945,0.669982,0.56991,23.9165,False
26,257.4348,592.8896,0.76031,0.657928,0.580224,24.3493,True
