epoch,tr_loss,va_loss,va_PDR,va_R2,va_CBR,va_RMSE,stopped
1,3573.5523,1856.0497,0.10756,-0.07086,1.026606,43.0819,False
2,1147.3516,609.7238,0.698955,0.648216,0.588404,24.6926,False
3,539.2208,528.6164,0.799716,0.695011,0.547872,22.9917,False
4,468.8645,486.6721,0.857923,0.719211,0.525687,22.0606,False
5,435.7,431.7838,0.859461,0.750879,0.495156,20.7794,False
6,417.4493,422.6133,0.8514,0.75617,0.489869,20.5576,False
7,403.3146,414.456,0.87276,0.760877,0.485119,20.3582,False
8,393.5073,412.2235,0.874436,0.762165,0.48381,20.3033,False
9,384.056,396.4975,0.855914,0.771238,0.474492,19.9122,False
10,373.455,430.1013,0.88362,0.75185,0.49419,20.7389,False
11,366.0767,410.717,0.873522,0.763034,0.482926,20.2662,False
12,360.6739,389.0909,0.871511,0.775511,0.47004,19.7254,False
13,354.7483,379.0854,0.871141,0.781284,0.463957,19.4701,False
14,351.6322,384.975,0.882789,0.777886,0.467547,19.6208,False
15,345.033,374.3933,0.882746,0.783991,0.461076,19.3492,False
16,340.9948,396.8982,0.877895,0.771007,0.474732,19.9223,False
17,337.283,435.5322,0.919367,0.748717,0.497301,20.8694,False
18,333.1846,388.105,0.90231,0.77608,0.469444,19.7004,False
19,331.2821,377.4157,0.886023,0.782247,0.462934,19.4272,False
20,326.2893,376.1099,0.895433,0.783001,0.462132,19.3936,False
21,322.973,369.6464,0.880818,0.78673,0.458144,19.2262,False
22,322.8498,364.5971,0.873676,0.789643,0.455004,19.0944,False
23,319.4939,368.0694,0.903767,0.78764,0.457166,19.1851,False
24,318.4001,361.8185,0.902446,0.791246,0.453267,19.0215,False
25,319.4038,364.671,0.905409,0.789601,0.45505,19.0964,False
26,316.457,372.365,0.893524,0.785162,0.459826,19.2968,False
27,319.0355,365.9856,0.919311,0.788842,0.45587,19.1307,False
28,314.1554,363.3768,0.895396,0.790347,0.454242,19.0624,False
29,313.8073,357.0321,0.911505,0.794008,0.450259,18.8953,False
30,311.0203,368.6331,0.908696,0.787315,0.457516,19.1998,False
31,310.2697,357.4884,0.900718,0.793745,0.450547,18.9074,False
32,309.1368,367.8614,0.923202,0.78776,0.457037,19.1797,False
33,305.3682,365.1819,0.921509,0.789306,0.455369,19.1097,False
34,304.8827,358.2937,0.882149,0.79328,0.451054,18.9286,False
35,307.8303,352.3832,0.916993,0.79669,0.447318,18.7719,False
36,306.2333,352.1106,0.880439,0.796847,0.447145,18.7646,False
37,308.0631,361.738,0.911698,0.791293,0.453217,19.0194,False
38,305.4709,353.123,0.910833,0.796263,0.447787,18.7916,False
39,302.4343,353.8285,0.896044,0.795856,0.448234,18.8103,False
40,301.1923,349.0381,0.912984,0.79862,0.44519,18.6826,False
41,301.3247,345.9562,0.891925,0.800398,0.44322,18.5999,False
42,301.1566,348.622,0.910315,0.79886,0.444924,18.6714,False
43,298.1976,372.7235,0.906277,0.784955,0.460047,19.306,False
44,300.0321,346.269,0.922006,0.800218,0.44342,18.6083,False
45,299.0093,348.6032,0.920783,0.798871,0.444912,18.6709,False
46,298.9249,365.9867,0.923196,0.788841,0.45587,19.1308,False
47,294.5641,388.7012,0.934375,0.775736,0.469804,19.7155,False
48,295.6254,349.6199,0.899906,0.798284,0.445561,18.6981,False
49,293.9493,368.1955,0.923114,0.787567,0.457244,19.1884,False
50,295.4854,341.135,0.911023,0.80318,0.440121,18.4698,False
51,292.739,372.6178,0.910467,0.785016,0.459982,19.3033,False
52,293.0166,362.3146,0.895899,0.79096,0.453578,19.0346,False
53,291.9886,359.2095,0.906256,0.792752,0.45163,18.9528,False
54,291.056,376.2936,0.921969,0.782895,0.462245,19.3983,False
55,291.2124,340.8835,0.903473,0.803325,0.439959,18.463,False
56,289.2885,342.741,0.896749,0.802253,0.441156,18.5133,False
57,290.5267,337.5174,0.884535,0.805267,0.437781,18.3716,False
58,292.247,368.607,0.907587,0.78733,0.457499,19.1991,False
59,289.8242,336.7325,0.895046,0.80572,0.437272,18.3503,False
60,290.2036,348.7535,0.929059,0.798784,0.445008,18.6749,False
61,287.8135,348.9607,0.8806,0.798665,0.44514,18.6805,False
62,288.6383,351.6567,0.926766,0.797109,0.446857,18.7525,False
63,285.9535,338.4006,0.90189,0.804757,0.438353,18.3957,False
64,284.7368,336.9882,0.910452,0.805572,0.437438,18.3572,False
65,284.7001,362.737,0.896963,0.790716,0.453842,19.0457,False
66,283.2196,335.6903,0.898261,0.806321,0.436594,18.3219,False
67,283.9379,336.244,0.874691,0.806002,0.436954,18.337,False
68,282.679,343.0815,0.908451,0.802057,0.441375,18.5225,False
69,279.0919,334.389,0.901777,0.807072,0.435747,18.2863,False
70,281.6606,359.5916,0.895911,0.792531,0.45187,18.9629,False
71,276.6976,349.2182,0.90436,0.798516,0.445305,18.6874,False
72,276.8973,352.0917,0.918743,0.796858,0.447133,18.7641,False
73,274.426,362.9804,0.917545,0.790576,0.453994,19.052,False
74,271.1534,351.1727,0.921429,0.797388,0.446549,18.7396,False
75,270.5247,458.585,0.905112,0.735416,0.510292,21.4146,False
76,271.209,433.3353,0.918803,0.749984,0.496045,20.8167,False
77,267.0283,346.6082,0.898421,0.800022,0.443637,18.6174,False
78,267.0263,358.2526,0.917031,0.793304,0.451028,18.9276,False
79,269.1542,430.3113,0.928786,0.751729,0.494311,20.7439,False
80,268.068,487.1265,0.9318,0.718949,0.525932,22.0709,False
81,265.8598,349.8933,0.905575,0.798127,0.445735,18.7054,False
82,266.0076,456.5879,0.92733,0.736568,0.50918,21.3679,False
83,265.4033,373.2301,0.889927,0.784662,0.46036,19.3192,False
84,265.1897,406.1706,0.909889,0.765657,0.480245,20.1537,True
