dataset,arch,n_runs,mpc_rate,rmse_mean,rmse_std,pdr_mean,r2_mean,stop_ep,n_params
FD001,CNN1D,10,0.0,14.389170000000002,0.4940236657624143,0.9592181,0.8709308,39.6,43201
FD001,GRU,10,0.0,13.585339999999999,0.24209240751782735,1.0236469,0.8850378000000001,58.0,43777
FD001,LSTM,10,0.1,16.215799999999998,8.504269560769004,0.9062366000000001,0.7957226000000001,74.4,57665
FD001,MLP,10,0.0,13.612369999999999,0.15239020856559937,0.9888885000000001,0.8845995999999999,98.0,84929
FD002,CNN1D,10,0.0,16.56675,0.8130183095519234,0.8744498999999999,0.8508215,27.1,43201
FD002,GRU,10,0.0,15.36888,0.3777970172225059,0.9373507,0.8718227000000001,36.1,43777
FD002,LSTM,10,0.0,16.11398,0.6006683496091847,0.9241932,0.8589936,51.3,57665
FD002,MLP,10,0.0,20.50502,0.27427676938126194,0.9297899,0.7719229999999999,63.8,84929
FD003,CNN1D,10,0.0,14.6537,2.4918762021149177,0.9567617,0.8563741,62.8,42625
FD003,GRU,10,0.0,12.613249999999999,0.47497439521632256,1.0111894,0.8961542,107.9,42625
FD003,LSTM,10,0.8,35.960089999999994,11.825241579063924,0.19942339999999997,0.0749698,38.7,56129
FD003,MLP,10,0.0,14.63082,0.12604001833632902,0.9821077,0.8604448,114.9,61889
FD004,CNN1D,10,0.0,19.81816,1.157455164670417,0.8613751000000001,0.7867436,32.3,43105
FD004,GRU,10,0.0,15.98585,1.461922250744622,0.9327209,0.8606292,70.7,43585
FD004,LSTM,10,0.0,18.32274,3.297042859964735,0.9242114000000001,0.8129747,78.1,57409
FD004,MLP,10,0.0,26.92261,0.5525706962311092,0.9402767000000001,0.6074971,79.0,81089
