dataset,arch,seed,n_params,stop_epoch,RMSE,NASA,test_PDR,test_R2,test_CBR,elapsed_s,is_collapsed
FD001,LSTM,0,57665,84,13.2274,335.5,0.999266,0.891048,0.315374,17.4,False
FD001,LSTM,1,57665,95,13.5839,359.43,1.028876,0.885095,0.323875,17.7,False
FD001,LSTM,2,57665,93,13.4462,319.24,1.000882,0.887413,0.320591,17.6,False
FD001,LSTM,3,57665,80,13.4891,337.57,0.991307,0.886694,0.321614,14.9,False
FD001,LSTM,4,57665,64,13.3454,311.04,1.002577,0.889094,0.31819,12.1,False
FD001,LSTM,5,57665,20,40.4107,16764.2,1e-06,-0.016911,0.963495,3.7,True
FD001,LSTM,6,57665,94,14.0059,404.81,1.018261,0.877845,0.333937,17.6,False
FD001,LSTM,7,57665,81,13.7706,366.55,0.99398,0.881914,0.328327,15.2,False
FD001,LSTM,8,57665,58,13.3199,357.05,1.008147,0.889517,0.317581,10.7,False
FD001,LSTM,9,57665,75,13.5589,350.83,1.019069,0.885517,0.323279,14.0,False
FD001,GRU,0,43777,54,13.3931,329.07,1.023826,0.888301,0.319325,9.6,False
FD001,GRU,1,43777,56,13.6149,356.47,1.035142,0.88457,0.324614,10.1,False
FD001,GRU,2,43777,100,13.5757,353.44,1.017032,0.885233,0.32368,17.9,False
FD001,GRU,3,43777,37,13.9114,388.08,1.024331,0.879488,0.331683,6.6,False
FD001,GRU,4,43777,71,13.3541,347.15,1.01782,0.88895,0.318396,12.6,False
FD001,GRU,5,43777,69,13.5542,360.96,1.017152,0.885596,0.323167,12.5,False
FD001,GRU,6,43777,47,13.9981,394.72,1.054556,0.87798,0.333751,8.7,False
FD001,GRU,7,43777,51,13.2195,315.08,1.008992,0.891178,0.315186,9.2,False
FD001,GRU,8,43777,40,13.7227,351.4,1.021067,0.882735,0.327184,7.4,False
FD001,GRU,9,43777,55,13.5097,338.41,1.016551,0.886347,0.322105,10.3,False
FD001,MLP,0,84929,70,13.7425,360.09,1.00342,0.882396,0.327656,8.6,False
FD001,MLP,1,84929,99,13.7665,365.91,0.984389,0.881985,0.328229,12.2,False
FD001,MLP,2,84929,93,13.7386,363.29,0.992704,0.882463,0.327563,11.4,False
FD001,MLP,3,84929,50,13.7538,334.75,0.969242,0.882202,0.327926,6.2,False
FD001,MLP,4,84929,72,13.4286,317.38,0.964504,0.887707,0.320173,8.8,False
