epoch,tr_loss,va_loss,va_PDR,va_R2,va_RMSE,stopped,ug_mean,rg_mean
1,8673.783,6643.9393,4e-06,-2.826072,81.5104,False,0.243684,0.769885
2,4920.0651,2822.8323,3e-06,-0.625596,53.1303,False,0.222467,0.804988
3,2160.5715,1748.6028,2e-06,-0.006975,41.8163,False,0.219212,0.818514
4,1747.7063,1740.7979,2e-06,-0.00248,41.7229,False,0.22028,0.820966
5,1743.1661,1741.4275,2e-06,-0.002843,41.7304,False,0.221574,0.822353
6,1742.7823,1736.7695,0.000656,-0.000161,41.6746,False,0.230133,0.813954
7,1660.177,1509.7367,0.178405,0.130582,38.8553,False,0.204169,0.755629
8,1156.9187,565.4771,0.593524,0.674356,23.7798,False,0.368808,0.563175
9,481.1833,309.5733,0.929977,0.821725,17.5947,False,0.309019,0.522584
10,388.3687,297.7759,0.885412,0.828519,17.2562,False,0.299266,0.506028
11,364.4961,280.1118,0.88716,0.838691,16.7365,False,0.288251,0.498743
12,358.8224,275.8487,0.917177,0.841146,16.6087,False,0.284411,0.496393
13,349.0834,275.3495,0.938853,0.841433,16.5937,False,0.272974,0.489291
14,344.9341,286.3443,0.916308,0.835102,16.9217,False,0.27279,0.487886
15,332.9896,271.1658,0.958125,0.843843,16.4671,False,0.274925,0.485872
16,315.2912,248.0698,0.95217,0.857143,15.7502,False,0.278557,0.484172
17,300.0688,246.1761,0.935324,0.858234,15.69,False,0.27601,0.48319
18,285.2768,234.8412,0.920243,0.864761,15.3245,False,0.265747,0.47621
19,275.8914,230.9787,0.89583,0.866985,15.198,False,0.261452,0.475277
20,265.4746,232.295,0.922665,0.866227,15.2412,False,0.260339,0.476051
21,265.1005,215.4239,0.951531,0.875943,14.6773,False,0.250717,0.469602
22,253.1647,209.1834,0.935521,0.879537,14.4632,False,0.243411,0.469003
23,244.0836,217.8261,0.947667,0.87456,14.7589,False,0.232071,0.462715
24,242.4076,209.6413,0.966651,0.879273,14.479,False,0.231076,0.460823
25,239.4195,194.0494,0.967995,0.888252,13.9302,False,0.225722,0.456888
26,233.3907,196.8534,0.949577,0.886637,14.0304,False,0.224557,0.45832
27,236.7267,194.2319,0.949051,0.888147,13.9367,False,0.221458,0.453195
28,227.3693,222.476,0.935203,0.871882,14.9156,False,0.220837,0.456745
29,226.6327,169.7919,0.944363,0.902221,13.0304,False,0.217415,0.454473
30,219.0107,182.3809,0.940361,0.894972,13.5048,False,0.215414,0.456845
31,219.8972,185.8921,0.938562,0.89295,13.6342,False,0.214124,0.453063
32,209.9621,173.3567,0.965804,0.900168,13.1665,False,0.207576,0.453233
33,211.721,170.0763,0.966766,0.902057,13.0413,False,0.201676,0.453197
34,208.7665,164.9113,0.943794,0.905032,12.8418,False,0.196937,0.454192
35,202.6596,166.3686,0.949755,0.904193,12.8984,False,0.196541,0.457993
36,199.4364,169.3307,0.967372,0.902487,13.0127,False,0.186381,0.451896
37,196.5954,149.3273,0.927759,0.914006,12.22,False,0.180463,0.450362
38,192.204,165.2675,0.950151,0.904827,12.8556,False,0.175942,0.44365
39,188.8799,177.9252,0.961773,0.897537,13.3389,False,0.173118,0.437891
40,189.9793,155.7505,0.966114,0.910307,12.48,False,0.172837,0.437307
41,187.1462,141.3602,0.954212,0.918594,11.8895,False,0.171739,0.435174
42,190.1189,168.1956,0.927566,0.903141,12.969,False,0.167202,0.431266
43,183.2906,135.1077,0.964891,0.922195,11.6236,False,0.169149,0.431856
44,178.5573,153.0609,0.960751,0.911856,12.3718,False,0.16433,0.423802
45,180.5885,155.4559,0.953521,0.910477,12.4682,False,0.168615,0.423404
46,180.6622,144.3645,0.972096,0.916864,12.0152,False,0.16455,0.423065
47,174.9434,140.4741,0.961417,0.919105,11.8522,False,0.158263,0.416706
48,171.4738,138.2948,0.945221,0.92036,11.7599,False,0.156961,0.414662
49,173.3522,143.3183,0.939607,0.917467,11.9716,False,0.151023,0.413491
50,178.1188,143.8788,0.9503,0.917144,11.995,False,0.151008,0.410617
51,168.6139,157.5612,0.955425,0.909265,12.5523,False,0.148544,0.407124
52,169.4009,151.8424,0.962114,0.912558,12.3224,False,0.14818,0.412665
53,170.2683,146.3253,0.971475,0.915735,12.0965,False,0.148188,0.415712
54,162.8769,157.8165,0.962864,0.909118,12.5625,False,0.144968,0.41201
55,166.8336,141.8802,0.954127,0.918295,11.9113,False,0.147477,0.413852
56,164.1603,137.8719,0.971478,0.920603,11.7419,False,0.135224,0.401488
57,166.4001,135.128,0.965291,0.922183,11.6245,False,0.138699,0.404213
58,165.5957,145.228,0.986546,0.916367,12.0511,True,0.141803,0.404072
