epoch,tr_loss,va_loss,va_PDR,va_R2,va_RMSE,stopped,fg_mean
1,8977.0763,7173.9634,4e-06,-3.1313,84.6992,False,0.866485
2,5571.4668,3398.2502,2e-06,-0.956964,58.2945,False,0.872338
3,2508.4761,1817.3122,1e-06,-0.046543,42.6299,False,0.872996
4,1775.0642,1738.094,1e-06,-0.000923,41.6905,False,0.873109
5,1744.7241,1741.5813,1e-06,-0.002932,41.7323,False,0.873099
6,1744.8425,1742.242,1e-06,-0.003312,41.7402,False,0.873078
7,1743.6505,1741.2086,1e-06,-0.002717,41.7278,False,0.873039
8,1743.6229,1740.6775,1e-06,-0.002411,41.7214,False,0.872995
9,1740.6178,1741.4482,1e-06,-0.002855,41.7307,False,0.872958
10,1749.3618,1739.8176,1e-06,-0.001916,41.7111,False,0.872914
11,1745.4094,1740.6849,1e-06,-0.002415,41.7215,False,0.872867
12,1739.3359,1742.8133,1e-06,-0.003641,41.747,False,0.872809
13,1738.5272,1742.8797,1e-06,-0.003679,41.7478,False,0.872735
14,1739.3772,1740.487,1e-06,-0.002301,41.7191,False,0.872649
15,1746.9705,1740.3832,1e-06,-0.002242,41.7179,False,0.872573
16,1741.7499,1740.6879,1e-06,-0.002417,41.7216,False,0.872486
17,1739.0835,1742.7805,1e-06,-0.003622,41.7466,False,0.872399
18,1737.353,1739.4317,1e-06,-0.001694,41.7065,False,0.872289
19,1748.9446,1741.1411,1e-06,-0.002678,41.727,True,0.872176
