epoch,tr_loss,va_loss,va_PDR,va_R2,va_RMSE,stopped
1,8742.2183,6870.361,5e-06,-2.956463,82.8876,False
2,5375.9529,3341.4867,2e-06,-0.924276,57.8056,False
3,2516.0805,1836.716,2e-06,-0.057717,42.8569,False
4,1782.229,1737.2017,2e-06,-0.000409,41.6798,False
5,1738.2867,1740.8682,2e-06,-0.002521,41.7237,False
6,1737.2768,1741.3416,2e-06,-0.002794,41.7294,False
7,1741.6825,1742.0188,2e-06,-0.003183,41.7375,False
8,1741.3491,1741.5423,2e-06,-0.002909,41.7318,False
9,1742.6851,1740.5746,2e-06,-0.002352,41.7202,False
10,1737.9941,1740.8154,1e-06,-0.002491,41.7231,False
11,1747.0511,1740.7575,1e-06,-0.002457,41.7224,False
12,1733.0188,1743.2098,1e-06,-0.003869,41.7518,False
13,1741.421,1739.5791,1e-06,-0.001779,41.7083,False
14,1738.9111,1742.0315,1e-06,-0.003191,41.7377,False
15,1751.343,1739.0489,2e-06,-0.001473,41.7019,False
16,1744.0207,1742.7488,3e-06,-0.003604,41.7462,False
17,1742.0928,1740.1256,5e-06,-0.002093,41.7148,False
18,1745.9671,1741.4166,7e-06,-0.002837,41.7303,False
19,1744.4398,1737.0558,2.4e-05,-0.000325,41.678,False
20,1738.8513,1730.9549,0.002484,0.003188,41.6047,False
21,1303.9558,571.8842,0.630123,0.670667,23.9141,False
22,458.8916,543.3274,0.760916,0.687112,23.3094,False
23,373.5987,258.5256,0.904755,0.851122,16.0787,False
24,317.4198,241.8011,0.883619,0.860753,15.55,False
25,271.2102,209.825,0.946276,0.879167,14.4853,False
26,257.503,308.2226,0.879482,0.822503,17.5563,False
27,251.4691,279.9983,0.911094,0.838756,16.7331,False
28,244.0113,224.0427,0.987335,0.87098,14.9681,False
29,236.4432,197.1076,0.972674,0.886491,14.0395,False
30,228.1835,187.3447,0.976208,0.892113,13.6874,False
31,233.3484,176.6915,0.9719,0.898248,13.2925,False
32,227.475,173.321,0.95804,0.900189,13.1651,False
33,223.8641,192.065,0.93244,0.889395,13.8588,False
34,217.7841,185.1969,0.957286,0.89335,13.6087,False
35,213.6054,179.993,0.922477,0.896347,13.4161,False
36,214.4059,175.3744,0.928759,0.899006,13.2429,False
37,208.3105,190.8627,0.897087,0.890087,13.8153,False
38,209.3445,182.271,0.982923,0.895035,13.5008,False
39,204.6701,177.069,0.952974,0.898031,13.3067,False
40,204.583,185.2458,0.924427,0.893322,13.6105,False
41,205.1828,184.8157,0.97413,0.893569,13.5947,False
42,197.5265,267.2095,0.936681,0.846121,16.3465,False
43,202.8822,233.8724,0.920301,0.865319,15.2929,False
44,199.2188,163.3593,0.922425,0.905926,12.7812,False
45,200.8575,180.5534,0.953922,0.896024,13.437,False
46,192.042,158.3793,0.956146,0.908793,12.5849,False
47,188.4484,152.2614,0.942119,0.912317,12.3394,False
48,192.9734,181.0059,0.945955,0.895763,13.4538,False
49,188.2491,170.0417,0.934259,0.902077,13.04,False
50,187.8969,181.6906,0.98415,0.895369,13.4793,False
51,186.9735,171.6674,0.928449,0.901141,13.1022,False
52,185.6674,162.5214,0.962863,0.906408,12.7484,False
53,178.7873,167.9594,0.943612,0.903277,12.9599,False
54,178.6769,158.9931,0.936673,0.90844,12.6092,False
55,174.2006,183.2124,0.936612,0.894493,13.5356,False
56,183.1179,142.6503,0.945963,0.917851,11.9436,False
57,171.2117,171.514,0.912066,0.90123,13.0963,False
58,182.7557,150.7842,0.97515,0.913167,12.2794,False
59,174.5835,185.756,0.97166,0.893028,13.6292,False
60,174.403,143.0083,0.96945,0.917645,11.9586,False
61,170.3532,159.313,0.948512,0.908256,12.6219,False
62,175.2974,146.9455,0.931985,0.915378,12.1221,False
63,164.1395,148.2171,0.960983,0.914646,12.1744,False
64,165.6171,158.0724,0.936894,0.90897,12.5727,False
65,165.2858,147.0616,0.954657,0.915311,12.1269,False
66,159.6483,144.1246,0.957022,0.917002,12.0052,False
67,166.1504,138.1058,0.940282,0.920468,11.7518,False
68,159.1984,159.1521,0.961117,0.908348,12.6156,False
69,157.3415,139.9599,0.933344,0.919401,11.8305,False
70,158.6546,156.5596,0.93742,0.909841,12.5124,False
71,163.9189,160.6474,0.970458,0.907487,12.6747,False
72,157.589,139.7177,0.959956,0.91954,11.8202,False
73,156.0547,157.5943,0.983324,0.909246,12.5537,False
74,157.4996,152.4249,0.91914,0.912222,12.346,False
75,155.357,139.7902,0.959571,0.919498,11.8233,False
76,160.6037,170.1232,0.939187,0.90203,13.0431,False
