epoch,tr_loss,va_loss,va_PDR,va_R2,va_RMSE,stopped
1,9002.4434,7514.5956,5e-06,-3.327461,86.6868,False
2,6257.4918,4227.876,2e-06,-1.434724,65.0221,False
3,3180.1673,2110.642,2e-06,-0.215464,45.9417,False
4,1911.4854,1741.4437,1e-06,-0.002852,41.7306,False
5,1742.9359,1738.9602,1e-06,-0.001422,41.7008,False
6,1740.8405,1741.6464,1e-06,-0.002969,41.733,False
7,1741.9628,1741.8034,1e-06,-0.003059,41.7349,False
8,1738.2941,1741.146,1e-06,-0.002681,41.727,False
9,1740.1294,1740.5133,1e-06,-0.002317,41.7195,False
10,1735.7434,1740.8891,1e-06,-0.002533,41.724,False
11,1739.15,1736.1297,0.001642,0.000208,41.6669,False
12,1318.8992,627.5052,0.677567,0.638636,25.0501,False
13,645.3373,590.0014,0.835361,0.660233,24.2899,False
14,567.9058,600.5443,0.978287,0.654162,24.506,False
15,519.0861,535.5968,0.923559,0.691564,23.143,False
16,462.2933,368.0915,0.818005,0.788026,19.1857,False
17,420.5461,326.7639,0.865436,0.811825,18.0766,False
18,365.1487,262.0961,0.87953,0.849066,16.1894,False
19,328.4726,255.4507,0.863882,0.852893,15.9828,False
20,313.545,218.2249,0.925263,0.87433,14.7724,False
21,297.4911,250.733,0.879985,0.855609,15.8345,False
22,280.0854,227.6027,0.886331,0.86893,15.0865,False
23,292.6392,210.5784,0.927415,0.878733,14.5113,False
24,276.2257,204.1304,0.90149,0.882447,14.2874,False
25,258.5859,188.5192,0.918523,0.891437,13.7302,False
26,254.9429,218.3839,0.973517,0.874238,14.7778,False
27,257.3538,193.3662,0.960346,0.888645,13.9056,False
28,256.3452,244.2057,0.95576,0.859368,15.6271,False
29,251.9337,206.5572,0.961009,0.881049,14.3721,False
30,249.1755,197.3532,0.905722,0.886349,14.0482,False
31,247.4862,202.5803,0.960362,0.883339,14.2331,False
32,242.6362,193.9058,0.939679,0.888335,13.925,False
33,235.679,181.4258,0.956673,0.895522,13.4694,False
34,238.7475,186.5023,0.926956,0.892598,13.6566,False
35,237.2482,227.9397,0.942776,0.868735,15.0977,False
36,227.0729,199.104,0.946653,0.885341,14.1104,False
37,229.9874,181.9367,0.934195,0.895227,13.4884,False
38,229.0354,252.106,0.914176,0.854819,15.8778,False
39,239.4516,187.6278,0.947367,0.89195,13.6977,False
40,225.1729,204.5708,0.942196,0.882193,14.3028,False
41,229.1643,179.7341,0.918514,0.896496,13.4065,False
42,228.5915,187.0947,0.912773,0.892257,13.6783,False
43,222.2865,176.097,0.965452,0.89859,13.2702,False
44,227.4908,175.9498,0.949537,0.898675,13.2646,False
45,213.6584,171.7719,0.963127,0.901081,13.1062,False
46,218.2455,165.6899,0.929174,0.904583,12.8721,False
47,216.6161,179.3988,0.968942,0.896689,13.394,False
48,211.6837,169.5832,0.949558,0.902341,13.0224,False
49,209.0444,175.1451,0.969743,0.899138,13.2342,False
50,215.1374,179.5239,0.947546,0.896617,13.3987,False
51,213.0087,186.9295,0.907959,0.892352,13.6722,False
52,207.5144,166.982,0.96053,0.903839,12.9222,False
53,204.9279,171.1405,0.945901,0.901445,13.0821,False
54,204.451,182.5785,0.914478,0.894858,13.5122,False
55,208.1579,169.4685,0.973757,0.902408,13.018,False
56,205.6399,227.8817,0.900648,0.868769,15.0958,False
57,205.2179,161.3195,0.95878,0.9071,12.7012,False
58,204.3311,223.7089,0.910673,0.871172,14.9569,False
59,204.6819,151.2269,0.937752,0.912912,12.2974,False
60,195.9744,157.4929,0.967286,0.909304,12.5496,False
61,199.6417,180.0468,0.93508,0.896316,13.4182,False
62,203.4271,197.2022,0.985159,0.886436,14.0429,False
63,198.5217,165.4207,0.969654,0.904738,12.8616,False
64,198.6332,158.0966,0.958094,0.908956,12.5736,False
65,192.6168,172.8345,0.920516,0.900469,13.1467,False
66,195.5224,174.9365,0.971305,0.899259,13.2264,False
67,200.9078,157.2146,0.976459,0.909464,12.5385,False
68,198.7126,143.7937,0.939318,0.917193,11.9914,False
69,188.8372,169.5192,0.93938,0.902378,13.02,False
70,187.6109,165.1623,0.921107,0.904887,12.8515,False
71,186.6552,152.2303,0.904437,0.912335,12.3382,False
72,188.2928,146.5768,0.950117,0.91559,12.1069,False
73,183.5589,139.0829,0.949568,0.919906,11.7933,False
