label,seed,stop_epoch,RMSE,NASA,test_PDR,test_R2,elapsed_s,is_collapsed
LSTM_gate,0,132,12.3602,284.66,1.00158,0.900406,279.7,False
LSTM_gate,1,19,41.7299,35250.75,3e-06,-0.135204,40.3,True
LSTM_gate,2,25,41.8677,36645.43,2e-06,-0.142716,52.8,True
LSTM_gate,3,19,41.7124,35075.99,2e-06,-0.134255,40.1,True
LSTM_gate,4,140,12.4907,269.08,1.012505,0.898292,309.2,False
LSTM_gate,5,102,12.9027,339.97,1.023845,0.891473,245.8,False
LSTM_gate,6,102,13.3697,335.07,0.993078,0.883473,252.9,False
LSTM_gate,7,19,41.8248,36208.7,2e-06,-0.140374,42.2,True
LSTM_gate,8,36,41.6965,34916.54,2e-06,-0.133389,80.9,True
LSTM_gate,9,23,41.8532,36497.76,3e-06,-0.141925,51.6,True
GRU_gate,0,84,12.4892,349.34,1.036199,0.898318,291.8,False
GRU_gate,1,99,11.985,298.49,1.027065,0.906361,344.8,False
GRU_gate,2,65,13.2049,374.25,1.03908,0.886328,224.2,False
GRU_gate,3,96,11.3483,262.0,1.00384,0.916046,332.4,False
GRU_gate,4,67,12.1415,297.57,0.999344,0.9039,233.3,False
GRU_gate,5,58,13.1336,347.76,1.01251,0.887554,202.1,False
GRU_gate,6,63,12.078,318.06,1.008587,0.904902,218.7,False
GRU_gate,7,105,11.5483,260.51,1.008733,0.913061,363.4,False
GRU_gate,8,83,11.7117,285.15,1.003197,0.910583,288.3,False
GRU_gate,9,89,13.0535,406.51,1.010739,0.88892,309.2,False
V1_fb1,0,71,13.3179,360.84,1.04567,0.884375,15.8,False
V1_fb1,1,120,12.0101,245.15,0.98611,0.905969,26.4,False
V1_fb1,2,83,13.2137,317.3,1.032957,0.886178,18.2,False
V1_fb1,3,91,12.6047,334.39,0.991277,0.896428,20.0,False
V1_fb1,4,18,41.6727,34679.28,5e-06,-0.132098,4.0,True
V1_fb1,5,19,41.4726,32707.18,1e-06,-0.121249,4.3,True
V1_fb1,6,19,41.4179,32175.8,2e-06,-0.118294,4.1,True
V1_fb1,7,117,12.427,311.57,1.00175,0.899328,25.7,False
V1_fb1,8,19,41.3733,31744.82,2e-06,-0.115886,4.3,True
V1_fb1,9,68,13.4385,331.35,1.005384,0.882272,14.8,False
V2_fg1,0,130,13.3373,287.92,1.015589,0.884038,234.3,False
V2_fg1,1,114,12.1703,246.01,0.998653,0.903444,202.2,False
V2_fg1,2,101,12.8364,253.0,0.991972,0.892584,179.7,False
V2_fg1,3,98,12.0883,218.45,0.987168,0.904741,177.6,False
V2_fg1,4,104,12.5663,249.74,1.02742,0.897058,188.3,False
V2_fg1,5,106,12.7812,242.24,0.994405,0.893506,190.3,False
V2_fg1,6,47,15.3596,516.05,0.985806,0.846206,84.5,False
V2_fg1,7,99,12.5379,247.26,0.977265,0.897522,178.1,False
V2_fg1,8,95,12.4358,254.6,1.001477,0.899185,170.1,False
V2_fg1,9,93,13.453,337.26,0.992523,0.882018,167.4,False
