epsilon,seed,stop_epoch,RMSE,NASA,test_PDR,test_R2,test_CBR,elapsed_s,is_collapsed
0.001,0,29,41.6274,34228.57,2e-06,-0.129635,1.062843,57.6,True
0.001,1,19,41.6632,34584.58,3e-06,-0.131581,1.063758,36.9,True
0.001,2,33,41.7685,35639.18,1e-06,-0.137305,1.066445,64.0,True
0.001,3,19,41.6635,34587.1,2e-06,-0.131594,1.063764,37.3,True
0.001,4,110,12.777,327.04,1.016452,0.893576,0.326227,216.4,False
0.001,5,122,12.7453,313.78,1.006005,0.894104,0.325417,240.7,False
0.001,6,126,12.8435,339.94,0.995794,0.892466,0.327924,248.2,False
0.001,7,127,12.2993,291.0,1.011654,0.901386,0.314029,250.1,False
0.001,8,51,41.7558,35511.21,1e-06,-0.136614,1.066121,100.6,True
0.001,9,29,41.6873,34824.92,2e-06,-0.13289,1.064373,57.3,True
0.01,0,29,41.6274,34228.57,2e-06,-0.129635,1.062843,57.0,True
0.01,1,19,41.6632,34584.58,3e-06,-0.131581,1.063758,37.6,True
0.01,2,33,41.7685,35639.18,1e-06,-0.137305,1.066445,65.2,True
0.01,3,19,41.6635,34587.1,2e-06,-0.131594,1.063764,37.6,True
0.01,4,110,12.777,327.04,1.016452,0.893576,0.326227,216.7,False
0.01,5,122,12.7457,313.91,1.006021,0.894097,0.325427,240.6,False
0.01,6,126,12.8435,339.94,0.995794,0.892466,0.327924,248.1,False
0.01,7,127,12.2993,291.0,1.011654,0.901386,0.314029,250.3,False
0.01,8,51,41.7558,35511.21,1e-06,-0.136614,1.066121,100.6,True
0.01,9,29,41.6873,34824.92,2e-06,-0.13289,1.064373,57.1,True
0.05,0,29,41.6272,34226.17,2e-06,-0.129622,1.062837,57.3,True
0.05,1,19,41.6632,34584.58,3e-06,-0.131581,1.063758,37.6,True
0.05,2,33,41.7685,35639.18,1e-06,-0.137305,1.066445,65.2,True
0.05,3,19,41.6635,34587.1,2e-06,-0.131594,1.063764,37.3,True
0.05,4,134,12.7833,308.55,0.990126,0.893471,0.326387,264.0,False
0.05,5,95,12.8683,304.24,0.997944,0.892051,0.328556,188.1,False
0.05,6,126,13.0144,362.87,0.994795,0.889585,0.332288,249.2,False
0.05,7,127,12.3114,292.49,1.012016,0.901191,0.314339,252.8,False
0.05,8,51,41.7558,35511.21,1e-06,-0.136614,1.066121,99.8,True
0.05,9,29,41.6873,34824.92,2e-06,-0.13289,1.064373,57.2,True
