method,mpc_rate,rmse_all,rmse_normal,n_seeds,cost_score,cost_label
Baseline,0.6,30.18±14.98,12.78,10,4,없음
GRU 교체,0.0,12.61±0.47,12.61,10,3,중간 — 아키텍처 변경
forget gate=1 (V2_fg1),0.0,12.96±0.95,12.96,10,2,낮음 — 커스텀 셀
V1_fb1 (forget bias+1),0.4,24.29±14.80,12.84,10,1,매우 낮음 — init
forget gate clamp 0.001,0.6,30.08±14.99,12.67,10,1,매우 낮음 — 1줄
forget gate clamp 0.01,0.6,30.08±14.99,12.67,10,1,매우 낮음 — 1줄
forget gate clamp 0.05,0.6,30.11±14.95,12.74,10,1,매우 낮음 — 1줄
bias_init=train_mean,0.0,12.94±0.48,12.94,10,1,매우 낮음 — 1줄
MAE loss,0.0,13.43±0.60,13.43,10,1,매우 낮음 — 1줄
patience=30,0.2,18.38±12.21,12.59,10,1,매우 낮음 — 파라미터
per-seed split,0.3,21.50±14.02,12.80,10,1,매우 낮음 — 프로토콜
ES warmup (B3),0.0,12.42±1.04,12.42,10,1,매우 낮음 — 프로토콜
